,,I.,,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7046,7047,706,7060,71,710,7100,7101,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,74,740,7400,7401,7402,7403
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+73,,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI
,,,,,DAVKI NA DOHODEK IN DOBIČEK,DAVKI NA DOHODEK IN DOBIČEK,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,DENARNE KAZNI ,DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEMATERIALNEGA  PREMOŽENJA,,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIHODKI IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ
,- v EUR,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve ,Dovoljenja za poslovanje in za opravljanje dejavnosti ,Pristojbine za motorna vozila,Drugi davki na uporabo blaga ali opravljanje storitev,,Drugi davki,,,Udeležba na dobičku javnih podjetij in javnih finančnih institucij,Prihodki od udeležbe na dobič. drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja ,,Upravne in druge takse in pristojbine,,Denarne kazni,,Prihodki od prodaje blaga in storitev (prihodki upravnih organov),,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje nematerialnega premoženja,,,Prejete donacije iz domačih virov za tekočo porabo,Prejete donacije iz domačih virov za investicije,,Prejete donacije iz tujine za tekočo porabo,Prejete donacije iz tujine za investicije,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz proračunov lokalnih skupnosti,Prejeta sredstva iz skladov socialnega zavarovanja ,Prejeta sredstva iz drugih javnih skladov
Zap. št.,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AJDOVŠČINA,6.440.144 ,3.875.793 ,3.510.307 ,2.863.575 ,2.863.575 ,431.952 ,295.485 ,0 ,33.454 ,103.013 ,214.781 ,136.818 ,0 ,0 ,77.963 ,0 ,0 ,365.486 ,220.852 ,0 ,517 ,54.344 ,165.991 ,0 ,0 ,1.644 ,1.644 ,8.271 ,8.271 ,134.719 ,134.719 ,72.613 ,41.800 ,40.298 ,1.502 ,0 ,0 ,0 ,0 ,0 ,30.813 ,0 ,30.813 ,0 ,532.319 ,532.319 ,249.612 ,282.707 ,0 ,0 ,0 ,1.959.418 ,1.959.418 ,1.936.622 ,22.797 ,0 ,0 
2,BELTINCI,3.290.507 ,1.680.621 ,1.136.776 ,843.102 ,843.102 ,11.534 ,267 ,0 ,1.097 ,10.169 ,282.140 ,1.982 ,0 ,0 ,280.158 ,0 ,0 ,543.845 ,7.415 ,0 ,0 ,897 ,6.518 ,530 ,530 ,0 ,0 ,73.819 ,73.819 ,462.081 ,462.081 ,61.801 ,45.030 ,45.030 ,0 ,0 ,0 ,0 ,0 ,0 ,16.771 ,217 ,16.554 ,0 ,901 ,901 ,242 ,659 ,0 ,0 ,0 ,1.547.183 ,1.547.183 ,1.387.510 ,159.448 ,0 ,225 
3,BENEDIKT,835.674 ,306.756 ,141.683 ,116.429 ,116.429 ,7.941 ,8 ,0 ,342 ,7.591 ,17.313 ,743 ,0 ,0 ,16.571 ,0 ,0 ,165.073 ,8.534 ,0 ,0 ,497 ,8.037 ,0 ,0 ,83 ,83 ,47.951 ,47.951 ,108.504 ,108.504 ,42.576 ,2.992 ,2.992 ,0 ,0 ,0 ,0 ,0 ,0 ,39.584 ,0 ,39.584 ,0 ,21.186 ,21.186 ,0 ,21.186 ,0 ,0 ,0 ,465.156 ,465.156 ,463.287 ,1.869 ,0 ,0 
4,BISTRICA OB SOTLI,537.911 ,143.753 ,119.145 ,100.184 ,100.184 ,17.434 ,11.430 ,0 ,2.667 ,3.338 ,1.527 ,0 ,0 ,0 ,1.527 ,0 ,0 ,24.608 ,3.898 ,0 ,0 ,134 ,3.764 ,2.433 ,2.433 ,71 ,71 ,300 ,300 ,17.906 ,17.906 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10.432 ,0 ,10.432 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,383.726 ,383.726 ,383.726 ,0 ,0 ,0 
