,,VIII.  50,500,5001,5002,5003,5004,IX.  55,550,5501,5502,5503,5504,X.,XI.,ST.,FI.
,,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ZADOLŽEVANJE  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,ODPLAČILA  DOLGA  ,NETO ZADOLŽEVANJE  ,POVEČANJE (ZMANJŠANJE)  SREDSTEV NA RAČUNIH                                                                  ,STANJE SREDSTEV NA RAČUNIH OB KONCU                   PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE  IZRAVNAVE IZ PRETEKLEGA LETA
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,ODPLAČILA DOMAČEGA DOLGA ,(VIII.-IX.),(III.+VI.+X) = (I.+IV.+VIII.) - (II.+V.+IX.),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,Odplačila glavnice vrednostnih papirjev,,,,
Zap. št.,OBČINA,,,,,,,,,,,,,,,,
1,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,97.884 ,97.884 ,2.779 ,0 ,0 ,95.105 ,-97.884 ,114.518 ,1.936.709 ,0 
2,BELTINCI,12.085 ,12.085 ,0 ,0 ,12.085 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12.085 ,344.796 ,98.873 ,0 
3,BENEDIKT,10.491 ,10.491 ,10.491 ,0 ,0 ,0 ,12.001 ,12.001 ,12.001 ,0 ,0 ,0 ,-1.511 ,60.800 ,0 ,0 
4,BISTRICA OB SOTLI,13.554 ,13.554 ,0 ,0 ,13.554 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13.554 ,-123.018 ,1.277 ,0 
5,BLED,0 ,0 ,0 ,0 ,0 ,0 ,17.852 ,17.852 ,17.852 ,0 ,0 ,0 ,-17.852 ,4.682 ,0 ,0 
6,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,5.575 ,5.575 ,0 ,0 ,5.575 ,0 ,-5.575 ,-16.320 ,10.341 ,8.016 
7,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,3.618 ,3.618 ,0 ,0 ,3.618 ,0 ,-3.618 ,-71.862 ,0 ,0 
8,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,13.804 ,13.804 ,0 ,0 ,13.804 ,0 ,-13.804 ,126.365 ,21.228 ,0 
9,BOVEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.266 ,369.976 ,0 
10,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,233.688 ,0 ,0 
11,BRDA,125.104 ,125.104 ,125.104 ,0 ,0 ,0 ,40.995 ,40.995 ,23.640 ,0 ,17.355 ,0 ,84.110 ,-12.369 ,49.862 ,0 
12,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,295.660 ,295.660 ,275.413 ,20.247 ,0 ,0 ,-295.660 ,11.985 ,0 ,0 
13,BREŽICE,163.028 ,163.028 ,0 ,0 ,163.028 ,0 ,8.083 ,8.083 ,0 ,0 ,8.083 ,0 ,154.945 ,27.721 ,0 ,0 
14,CANKOVA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,165.386 ,0 ,0 
15,CELJE (M),207.048 ,207.048 ,0 ,0 ,207.048 ,0 ,492.355 ,492.355 ,430.396 ,0 ,61.960 ,0 ,-285.307 ,249.779 ,-259.527 ,0 
16,CERKLJE NA GORENJSKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,898.907 ,100.943 ,36.375 
17,CERKNICA,166.917 ,166.917 ,166.917 ,0 ,0 ,0 ,106.439 ,106.439 ,83.459 ,0 ,22.980 ,0 ,60.478 ,-4.957 ,12.043 ,-63.896 
18,CERKNO,0 ,0 ,0 ,0 ,0 ,0 ,2.921 ,2.921 ,0 ,0 ,2.921 ,0 ,-2.921 ,-48.272 ,0 ,0 
19,CERKVENJAK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,200.901 ,25.751 ,0 
20,ČRENŠOVCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,222.705 ,0 ,0 
21,ČRNA NA KOROŠKEM,0 ,0 ,0 ,0 ,0 ,0 ,37.556 ,37.556 ,37.556 ,0 ,0 ,0 ,-37.556 ,-384 ,12.427 ,0 
22,ČRNOMELJ,0 ,0 ,0 ,0 ,0 ,0 ,221.474 ,221.474 ,0 ,0 ,121.178 ,100.296 ,-221.474 ,20.172 ,14.801 ,0 
23,DESTRNIK,375.563 ,375.563 ,375.563 ,0 ,0 ,0 ,637.540 ,637.540 ,637.540 ,0 ,0 ,0 ,-261.976 ,-17.034 ,34.898 ,0 
24,DIVAČA,0 ,0 ,0 ,0 ,0 ,0 ,17.885 ,17.885 ,17.885 ,0 ,0 ,0 ,-17.885 ,-161.521 ,288.095 ,0 
25,DOBJE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,31.468 ,0 ,0 
26,DOBREPOLJE,0 ,0 ,0 ,0 ,0 ,0 ,497 ,497 ,0 ,0 ,497 ,0 ,-497 ,380.813 ,278.046 ,0 
27,DOBRNA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-217 ,1.427 ,0 
28,DOBROVA - POLHOV GRADEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18.899 ,28.105 ,0 
29,DOBROVNIK,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,75.609 ,0 ,0 
30,DOL PRI LJUBLJANI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,61.743 ,126.323 ,0 
31,DOLENJSKE TOPLICE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,94.162 ,0 ,0 
32,DOMŽALE,125.188 ,125.188 ,0 ,0 ,125.188 ,0 ,75.342 ,75.342 ,63.938 ,11.405 ,0 ,0 ,49.846 ,-818.127 ,2.835.399 ,0 
33,DORNAVA,0 ,0 ,0 ,0 ,0 ,0 ,17.944 ,17.944 ,0 ,17.944 ,0 ,0 ,-17.944 ,-164.392 ,194.671 ,-14.321 
34,DRAVOGRAD,0 ,0 ,0 ,0 ,0 ,0 ,68.853 ,68.853 ,68.853 ,0 ,0 ,0 ,-68.853 ,312.448 ,84.360 ,0 
35,DUPLEK,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,20.865 ,0 ,0 ,0 ,-20.865 ,371.645 ,195.556 ,0 
36,GORENJA VAS - POLJANE,281.723 ,281.723 ,200.300 ,0 ,81.422 ,0 ,81.422 ,81.422 ,0 ,0 ,81.422 ,0 ,200.300 ,-111.943 ,116.149 ,0 
37,GORIŠNICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.016 ,1.102 ,-32.449 
38,GORNJA RADGONA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,274.670 ,192.756 ,0 
39,GORNJI GRAD,0 ,0 ,0 ,0 ,0 ,0 ,9.573 ,9.573 ,9.573 ,0 ,0 ,0 ,-9.573 ,2.103 ,4.169 ,0 
40,GORNJI PETROVCI,27.124 ,27.124 ,27.124 ,0 ,0 ,0 ,25.038 ,25.038 ,25.038 ,0 ,0 ,0 ,2.086 ,-16.875 ,48.635 ,0 
41,GRAD,0 ,0 ,0 ,0 ,0 ,0 ,29.878 ,29.878 ,29.878 ,0 ,0 ,0 ,-29.878 ,126.961 ,689 ,0 
42,GROSUPLJE,111.776 ,111.776 ,0 ,0 ,111.776 ,0 ,28.388 ,28.388 ,0 ,0 ,28.388 ,0 ,83.388 ,-253.021 ,312.414 ,0 
43,HAJDINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,43.603 ,0 ,0 
