,,II.,40,400,401,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4034,409,41,410,4100,4102,411,4110,4111,4112,4113,4117,4119,412,4120,413,4130,4131,4132,4133,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4300,4301,4302,4303,4304,4305,4306,4307,4308,III.
,,SKUPAJ ODHODKI,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI ODHODKI  ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,TEKOČI TRANSFERI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI ODHODKI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,PRORAČUNSKI PRESEŽEK (PRIMANKLJAJ) I.-II.
,,40+41+42+43,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,IZDATKI ZA BLAGO IN STORITVE,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,SREDSTVA IZLOČENA V REZERVE,(410+411+412+413),SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI POSAMEZNIKOM IN GOSPODINJSTVOM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,TRANSFERI NEPROFITNIM ORGANIZACIJAM IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,DRUGI TEKOČI DOMAČI TRANSFERI,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,INVESTICIJSKI TRANSFERI ,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,,Pisarniški in splošni material in storitve,Posebni materiali in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdržavanje,Najemnine in zakupnine,Kazni in odškodnine,Drugi operativni stroški,,Plačila obresti od kreditov poslovnim bankam,Plačila obresti od kreditov drugim finančnim institucijam,Plačila obresti od kreditov drugim domačim kreditodajalcem,Plačila obresti od vrednostnih papirjev,,,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transf. vojn. invalid., vojnim veter. in žrtvam vojnega nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,"Tekoči transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v druge javne sklade in agencije,Tekoči transferi v javne zavode in dr. izvajalce javnih služb,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,Študije o izvedljivosti projektov in projektna dokumentacija,,,"Investicijski transferi drugim ravnem države, drugim lokalnim skupnostim in ožjim delom lokalnih skupnosti",Kapitalski transferi javnim skladom in agencijam,Investicijski transferi neprofitnim organizacijam ,Investicijski transferi javnim podjetjem,Kapitalski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem in zasebnikom,Investicijski transferi posameznikom ,Investicijski transferi javnim zavodom in drugim izvajalcem javnih služb,Investicijski transferi v tujino,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,7.080.805 ,1.062.702 ,275.768 ,37.498 ,708.688 ,34.927 ,3.722 ,90.106 ,5.483 ,2.308 ,388.712 ,12.402 ,0 ,171.027 ,1.557 ,1.557 ,0 ,0 ,0 ,39.192 ,2.682.745 ,21.019 ,21.019 ,0 ,1.207.974 ,0 ,0 ,7.849 ,0 ,0 ,1.200.125 ,182.595 ,182.595 ,1.271.157 ,144.225 ,56.839 ,218.198 ,851.895 ,2.883.763 ,2.883.763 ,495.268 ,0 ,34.982 ,0 ,1.700.542 ,274.587 ,100.050 ,0 ,278.334 ,451.594 ,451.594 ,205.625 ,0 ,21.303 ,0 ,0 ,0 ,0 ,224.666 ,0 ,-423.556 
2.,BELTINCI,3.867.460 ,856.668 ,155.154 ,22.071 ,671.098 ,62.051 ,19.408 ,201.623 ,3.393 ,3.030 ,265.098 ,0 ,0 ,116.496 ,0 ,0 ,0 ,0 ,0 ,8.346 ,1.724.303 ,449.424 ,0 ,449.424 ,811.784 ,5.379 ,0 ,0 ,0 ,0 ,806.405 ,188.266 ,188.266 ,274.829 ,160.436 ,0 ,12.139 ,102.253 ,742.927 ,742.927 ,97.621 ,0 ,42.205 ,3.526 ,500.726 ,0 ,125 ,0 ,98.723 ,543.561 ,543.561 ,159.452 ,35.078 ,0 ,0 ,0 ,25.017 ,0 ,324.015 ,0 ,-234.368 
3.,BENEDIKT,1.049.691 ,169.229 ,70.426 ,9.235 ,83.596 ,29.657 ,0 ,8.287 ,2.408 ,1.189 ,5.930 ,0 ,0 ,36.125 ,1.052 ,1.052 ,0 ,0 ,0 ,4.920 ,449.082 ,38.971 ,0 ,38.971 ,60.624 ,0 ,0 ,0 ,0 ,0 ,60.624 ,41.483 ,41.483 ,308.004 ,0 ,8.559 ,0 ,299.445 ,356.055 ,356.055 ,0 ,0 ,8.893 ,0 ,278.263 ,0 ,22.684 ,0 ,46.215 ,75.325 ,75.325 ,0 ,0 ,0 ,0 ,0 ,0 ,75.325 ,0 ,0 ,-85.545 
4.,BISTRICA OB SOTLI,616.629 ,179.140 ,39.580 ,5.291 ,132.182 ,42.142 ,4.002 ,11.718 ,3.655 ,1.773 ,39.488 ,7.808 ,0 ,21.595 ,0 ,0 ,0 ,0 ,0 ,2.086 ,264.484 ,6.814 ,0 ,6.814 ,144.809 ,3.818 ,250 ,8.842 ,0 ,0 ,131.898 ,30.062 ,30.062 ,82.799 ,0 ,11.697 ,0 ,71.102 ,171.486 ,171.486 ,37.556 ,0 ,45.289 ,300 ,56.314 ,19.533 ,0 ,0 ,12.494 ,1.519 ,1.519 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.519 ,0 ,51.744 
5.,BLED,4.620.998 ,1.771.019 ,395.452 ,56.577 ,1.270.915 ,185.265 ,31.802 ,55.333 ,7.465 ,12.815 ,672.292 ,123.172 ,526 ,182.244 ,6.489 ,6.489 ,0 ,0 ,0 ,41.587 ,1.637.414 ,38.316 ,618 ,37.698 ,63.808 ,4.369 ,7.941 ,0 ,0 ,0 ,51.498 ,277.646 ,277.646 ,1.257.645 ,1.085 ,17.873 ,10.174 ,1.228.514 ,1.022.392 ,1.022.392 ,146.052 ,0 ,103.914 ,0 ,438.946 ,149.195 ,67.823 ,0 ,116.462 ,190.173 ,190.173 ,0 ,0 ,41.266 ,0 ,0 ,0 ,0 ,148.907 ,0 ,-201.506 
