,,IV. 75,750,7500,7501,7502,7503,7504,7506,751,7510,7511,7512,V.  44,440,4400,4401,4402,4403,4404,4405,441,4410,4411,4412,4413,4414,VI.,VII.
,,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,PREJETA VRAČILA DANIH POSOJIL IN PRODAJA KAPITALSKIH DELEŽEV ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,DANA POSOJILA IN POVEČANJE KAPITALSKIH DELEŽEV  ,PREJETA MINUS DANA POSOJILA   IN SPREMEMBE KAPITALSKIH DELEŽEV                                                ,SKUPNI PRESEŽEK (PRIMANJKLJAJ) PRIHODKI MINUS ODHODKI TER SALDO PREJETIH IN DANIH POSOJIL                           
,,(750+751),PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PREJETA VRAČILA DANIH POSOJIL ,PRODAJA KAPITALSKIH DELEŽEV ,PRODAJA KAPITALSKIH DELEŽEV ,PRODAJA KAPITALSKIH DELEŽEV ,PRODAJA KAPITALSKIH DELEŽEV ,(440+441),DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,POVEČANJE KAPITALSKIH DELEŽEV ,POVEČANJE KAPITALSKIH DELEŽEV ,POVEČANJE KAPITALSKIH DELEŽEV ,POVEČANJE KAPITALSKIH DELEŽEV ,POVEČANJE KAPITALSKIH DELEŽEV ,POVEČANJE KAPITALSKIH DELEŽEV ,(IV. - V.), (I. + IV.) - (II. + V.)
,- v EUR,,,Prejeta vračila danih posojil od posameznikov,Prejeta vračila danih posojil od javnih podjetij,Prejeta vračila danih posojil od finančnih institucij,Prejeta vračila danih posojil od privat. podjetij in zasebn.,Prejeta vračila danih posojil od drugih ravni države,Prejeta vračila danih posojil od državnega proračuna,,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih ","Sredstva, pridobljena s prodajo kapit. deležev v finan. instituc.","Sredstva, pridobljena s prodajo kapit. deležev v privatnih podjetjih",,,Dana posojila posameznikom,Dana posojila javnim skladom,Dana posojila javnim podjetjem,Dana posojila finančnim institucijam,Dana posojila privatnim podjetjem,Dana posojila drugim ravnem države,,Povečanje kapitalskih deležev v javnih podjetjih,Povečanje kapitalskih deležev v finančnih institucijah,Povečanje kapitalskih deležev v privatnih podjetjih,Skupna vlaganja (joint ventures),Povečanje kapitalskih deležev v tujino,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66.909 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,66.909 ,65.949 ,0 ,960 ,0 ,0 ,-66.909 ,-490.465 
2.,BELTINCI,39.672 ,39.672 ,0 ,0 ,0 ,39.672 ,0 ,0 ,0 ,0 ,0 ,0 ,46.841 ,46.841 ,0 ,0 ,0 ,0 ,46.007 ,835 ,0 ,0 ,0 ,0 ,0 ,0 ,-7.169 ,-241.537 
3.,BENEDIKT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-85.545 
4.,BISTRICA OB SOTLI,176.515 ,176.515 ,0 ,0 ,176.515 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,105.283 ,104.323 ,0 ,0 ,0 ,104.323 ,0 ,0 ,960 ,0 ,0 ,960 ,0 ,0 ,71.232 ,122.976 
5.,BLED,364.288 ,364.288 ,37.101 ,0 ,292.105 ,0 ,35.082 ,0 ,0 ,0 ,0 ,0 ,104.323 ,104.323 ,0 ,0 ,0 ,104.323 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,259.965 ,58.459 
