,, 50, 500, 5001, 5002, 5003, 5004, 55, 550, 5501, 5502, 5503, 5504, IX., X., XI., FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,3.551 ,3.551 ,3.551 ,0 ,0 ,0 ,-842.151 ,846.111 ,715.244 ,138.220 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-26.875 ,48.086 ,197.968 ,23.877 
3.,BENEDIKT,335.921 ,335.921 ,0 ,0 ,335.921 ,0 ,46.945 ,46.945 ,46.945 ,0 ,0 ,0 ,1.740 ,292.163 ,14.430 ,0 
4.,BISTRICA OB SOTLI,8.346 ,8.346 ,0 ,0 ,8.346 ,0 ,8.517 ,8.517 ,171 ,0 ,8.346 ,0 ,5.592 ,27.591 ,1.235 ,880 
5.,BLED,0 ,0 ,0 ,0 ,0 ,0 ,22.755 ,22.755 ,22.755 ,0 ,0 ,0 ,211.747 ,-124.720 ,0 ,0 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,547 ,547 ,0 ,0 ,547 ,0 ,17.948 ,-18.494 ,6.180 ,906 
7.,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,3.618 ,3.618 ,0 ,0 ,3.618 ,0 ,31.205 ,-169.826 ,2.838 ,0 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,12.715 ,12.715 ,0 ,0 ,12.715 ,0 ,270.885 ,-283.600 ,35.441 ,0 
9.,BOVEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,115.849 ,-190.644 ,287.694 ,100.910 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,54.478 ,-54.478 ,0 ,0 
11.,BRDA,106.410 ,106.410 ,106.410 ,0 ,0 ,0 ,66.216 ,66.216 ,62.168 ,0 ,4.048 ,0 ,21.357 ,-21.240 ,29.252 ,36.605 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52.337 ,-54.937 ,52.099 ,0 
13.,BREŽICE,0 ,0 ,0 ,0 ,0 ,0 ,37.206 ,37.206 ,0 ,0 ,37.206 ,0 ,1.098.777 ,-1.135.670 ,0 ,0 
14.,CANKOVA,0 ,0 ,0 ,0 ,0 ,0 ,16.821 ,16.821 ,16.821 ,0 ,0 ,0 ,-16.220 ,10.495 ,26.623 ,0 
