,, II., 40, 400, 401, 402, 4020, 4021, 4022, 4023, 4024, 4025, 4026, 4027, 4028, 4029, 403, 4031, 4032, 4033, 4034, 409, 41, 410, 4100, 4102, 411, 4110, 4111, 4112, 4113, 4117, 4119, 412, 4120, 413, 4130, 4131, 4132, 4133, 414, 42, 420, 4200, 4201, 4202, 4203, 4204, 4205, 4206, 4207, 4208, 43, 430, 4300, 4301, 4302, 4303, 4304, 4305, 4306, 4307, 4308, III.
,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)"
,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,
,,,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,REZERVE,410+411+412+413+414,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Najemnine in zakupnine (leasing),Kazni in odškodnine,Davek na izplačane plače,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti od vrednostnih papirjev, izdanih na domačem trgu",,,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Trans. voj. invalidom, veteranom in žrtvam voj. nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,Tekoči trans. drugim lok. skup. ali ožjim delom lok. skupnosti,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v druge javne sklade in agencije,Tekoči trans. v javne zavode in dr. izvajalce javnih služb,,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedlji. proj., proj. dok., nadzor in invest. inžen.",,,Investicijski transferi drugim lok. skupn. ali ožjim delom lok. skupn.,Investicijski transferi javnim skladom in agencijam,Investicijski transferi neprofitnim organizacijam ,Investicijski transferi javnim podjetjem,Kapitalski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem in zasebnikom,Investicijski transferi posameznikom ,Invest. transferi javnim zavodom in javnim gospodar. službam,Investicijski transferi v tujino,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,8.552.099 ,1.368.206 ,398.135 ,57.791 ,868.920 ,45.034 ,1.911 ,124.220 ,5.792 ,597 ,380.437 ,9.022 ,0 ,18.503 ,283.404 ,1.682 ,1.682 ,0 ,0 ,0 ,41.679 ,3.138.817 ,50.910 ,0 ,50.910 ,1.591.850 ,0 ,0 ,21.728 ,0 ,0 ,1.570.122 ,174.587 ,174.587 ,1.321.470 ,140.970 ,72.884 ,8.951 ,1.098.665 ,0 ,3.199.833 ,3.199.833 ,0 ,0 ,252.191 ,0 ,2.473.498 ,128.388 ,162.477 ,0 ,183.279 ,845.243 ,845.243 ,226.477 ,0 ,73.444 ,350.526 ,0 ,0 ,76.940 ,117.856 ,0 ,-264.797 
2.,BELTINCI,3.444.036 ,1.049.214 ,208.496 ,30.187 ,810.532 ,70.515 ,20.190 ,242.519 ,6.658 ,4.843 ,299.930 ,97 ,0 ,0 ,165.778 ,0 ,0 ,0 ,0 ,0 ,0 ,1.620.099 ,110.039 ,0 ,110.039 ,934.703 ,4.824 ,0 ,0 ,0 ,0 ,929.879 ,164.226 ,164.226 ,411.131 ,138.854 ,81.223 ,14.106 ,176.949 ,0 ,324.038 ,324.038 ,0 ,0 ,24.707 ,1.126 ,279.495 ,0 ,4.080 ,0 ,14.629 ,450.685 ,450.685 ,151.911 ,8.862 ,25.860 ,0 ,0 ,27.840 ,0 ,236.212 ,0 ,59.867 
3.,BENEDIKT,1.234.802 ,232.157 ,83.141 ,12.076 ,116.558 ,27.157 ,0 ,11.768 ,3.005 ,3.560 ,10.762 ,447 ,0 ,3.864 ,55.996 ,8.609 ,8.609 ,0 ,0 ,0 ,11.772 ,526.473 ,24.971 ,0 ,24.971 ,72.263 ,0 ,0 ,0 ,0 ,0 ,72.263 ,56.418 ,56.418 ,372.822 ,0 ,12.423 ,0 ,360.399 ,0 ,449.341 ,449.341 ,24.591 ,2.041 ,3.330 ,0 ,374.065 ,1.077 ,20.865 ,0 ,23.373 ,26.832 ,26.832 ,0 ,0 ,5.546 ,0 ,0 ,0 ,21.286 ,0 ,0 ,-7.616 
4.,BISTRICA OB SOTLI,826.832 ,189.009 ,49.061 ,6.664 ,129.845 ,41.984 ,27.387 ,10.850 ,3.860 ,4.895 ,13.057 ,2.445 ,0 ,1.294 ,24.074 ,3.438 ,555 ,54 ,2.829 ,0 ,0 ,372.751 ,1.978 ,0 ,1.978 ,208.959 ,2.817 ,613 ,16.541 ,0 ,0 ,188.988 ,51.302 ,51.302 ,110.512 ,0 ,16.028 ,1.523 ,92.960 ,0 ,239.672 ,239.672 ,0 ,0 ,17.305 ,960 ,163.099 ,26.143 ,0 ,0 ,32.165 ,25.401 ,25.401 ,0 ,0 ,15.628 ,5.467 ,0 ,0 ,835 ,3.472 ,0 ,30.149 
5.,BLED,6.494.145 ,1.798.364 ,440.532 ,63.704 ,1.285.741 ,190.532 ,26.469 ,120.981 ,10.633 ,9.122 ,629.528 ,57.403 ,5.850 ,23.940 ,211.284 ,8.388 ,8.388 ,0 ,0 ,0 ,0 ,2.191.892 ,56.464 ,3.635 ,52.829 ,81.597 ,3.643 ,13.353 ,0 ,0 ,0 ,64.601 ,290.711 ,290.711 ,1.763.120 ,42 ,24.241 ,9.322 ,1.729.515 ,0 ,2.320.660 ,2.320.660 ,42.981 ,14.760 ,7.432 ,0 ,682.031 ,61.409 ,39.196 ,0 ,1.472.851 ,183.229 ,183.229 ,0 ,0 ,56.293 ,68.002 ,0 ,0 ,0 ,58.934 ,0 ,-280.049 
6.,BLOKE,948.193 ,140.244 ,34.652 ,5.208 ,100.300 ,16.446 ,0 ,19.104 ,0 ,2.596 ,5.596 ,0 ,0 ,1.235 ,55.325 ,83 ,0 ,0 ,83 ,0 ,0 ,376.106 ,11.380 ,11.192 ,188 ,112.611 ,0 ,1.398 ,12.832 ,0 ,0 ,98.381 ,20.276 ,20.276 ,231.839 ,0 ,6.773 ,0 ,225.067 ,0 ,411.033 ,411.033 ,0 ,0 ,2.170 ,0 ,388.074 ,9.506 ,4.156 ,0 ,7.127 ,20.810 ,20.810 ,0 ,0 ,18.987 ,0 ,0 ,0 ,0 ,1.824 ,0 ,-12.452 
