,, I., 7, 70, 700, 7000, 703, 7030, 7031, 7032, 7033, 704, 7044, 7045, 7046, 7047, 706, 7060, 71, 710, 7100, 7101, 7102, 7103, 711, 7111, 712, 7120, 713, 7130, 714, 7141, 72, 720, 7200, 7201, 7202, 7203, 721, 722, 7220, 7221, 7222, 73, 730, 7300, 7301, 731, 7310, 7311, 74, 740, 7400, 7401, 7402, 7403
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+74,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI
,,,,700+703+704+706,"DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,710+711+712+713+714,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,DENARNE KAZNI ,DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIH. OD PRODAJE ZEMLJIŠČ IN NEMATERIAL. PREMOŽENJA,PRIH. OD PRODAJE ZEMLJIŠČ IN NEMATERIAL. PREMOŽENJA,PRIH. OD PRODAJE ZEMLJIŠČ IN NEMATERIAL. PREMOŽENJA,PRIH. OD PRODAJE ZEMLJIŠČ IN NEMATERIAL. PREMOŽENJA,730+731,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,740,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ
,- v EUR,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve ,Dovoljenja za poslovanje in za opravljanje dejavnosti ,Pristojbine za motorna vozila,Drugi davki na uporabo blaga ali storitev,,Drugi davki,,,Udeležba na dobičku javnih podjetij in javnih finančnih institucij,Prihodki od udeležbe na dobič. drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja ,,Upravne takse in pristojbine,,Denarne kazni,,Prihodki od prodaje blaga in storitev (prihodki uprave),,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje nematerialnega premoženja,,,Prejete donacije iz domačih virov za tekočo porabo,Prejete donacije iz domačih virov za investicije,,Prejete donacije iz tujine za tekočo porabo,Prejete donacije iz tujine za investicije,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz proračunov lokalnih skupnosti,Prejeta sredstva iz skladov socialnega zavarovanja ,Prejeta sredstva iz drugih javnih skladov
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,8.287.302 ,6.030.062 ,5.079.348 ,3.870.314 ,3.870.314 ,472.525 ,374.662 ,0 ,20.685 ,77.178 ,736.509 ,31.080 ,0 ,0 ,705.429 ,0 ,0 ,950.714 ,538.449 ,0 ,1.924 ,60.491 ,476.035 ,55.921 ,55.921 ,8.000 ,8.000 ,10.366 ,10.366 ,337.978 ,337.978 ,152.137 ,40.235 ,39.860 ,0 ,0 ,376 ,0 ,111.901 ,0 ,111.901 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.105.103 ,2.105.103 ,1.936.267 ,168.837 ,0 ,0 
2.,BELTINCI,3.503.903 ,1.870.491 ,1.388.166 ,1.154.098 ,1.154.098 ,148.659 ,120.840 ,0 ,1.283 ,26.536 ,85.410 ,3.534 ,0 ,0 ,81.876 ,0 ,0 ,482.325 ,36.591 ,0 ,0 ,18.647 ,17.944 ,22.640 ,22.640 ,119 ,119 ,84.786 ,84.786 ,338.190 ,338.190 ,55.001 ,36.167 ,36.167 ,0 ,0 ,0 ,0 ,18.835 ,0 ,18.835 ,0 ,2.191 ,2.191 ,2.191 ,0 ,0 ,0 ,0 ,1.576.221 ,1.576.221 ,1.369.077 ,207.143 ,0 ,0 
3.,BENEDIKT,1.227.187 ,498.431 ,344.287 ,193.519 ,193.519 ,88.988 ,81.877 ,0 ,442 ,6.668 ,61.780 ,0 ,0 ,0 ,61.780 ,0 ,0 ,154.144 ,9.205 ,0 ,647 ,772 ,7.787 ,5.871 ,5.871 ,109 ,109 ,84.456 ,84.456 ,54.503 ,54.503 ,121.879 ,3.605 ,3.605 ,0 ,0 ,0 ,0 ,118.273 ,0 ,118.273 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,606.877 ,606.877 ,606.877 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,856.981 ,269.684 ,207.724 ,142.217 ,142.217 ,27.854 ,20.823 ,0 ,5.446 ,1.586 ,37.652 ,0 ,0 ,0 ,37.652 ,0 ,0 ,61.960 ,13.533 ,0 ,0 ,2.829 ,10.704 ,5.078 ,5.078 ,705 ,705 ,2.813 ,2.813 ,39.831 ,39.831 ,1.949 ,1.949 ,1.949 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,585.349 ,585.349 ,585.349 ,0 ,0 ,0 
