,, 75, 750, 7500, 7501, 7502, 7503, 7504, 7505, 7507, 751, 7510, 7511, 7512, 752, 7520,44, 440, 4400, 4401, 4402, 4403, 4404, 4405, 441, 4410, 4411, 4412, 4413, 4414, 4415, 442, 4420, 4421, VI.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","PREJETA VRAČILA DANIH POSOJIL, PRODAJA KAPITALSKIH DELEŽEV IN KUPNINE IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","DANA POSOJILA, POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB TER PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE","PREJETA MINUS DANA POSOJILA IN SPREMEMBE KAPITALSKIH DELEŽEV
(IV - V)"
,,750+751+752,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PREJETA VRAČILA DANIH POSOJIL,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,PRODAJA KAPITALSKIH DELEŽEV,KUPNINE IZ NASLOVA PRIVATIZACIJE,KUPNINE IZ NASLOVA PRIVATIZACIJE,440+441+442,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,DANA POSOJILA,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,POVEČANJE KAPITALSKIH DELEŽEV IN NALOŽB,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,PORABA SREDSTEV KUPNIN IZ NASLOVA PRIVATIZACIJE,
,- v EUR,,,Prejeta vračila danih posojil - od posameznikov,Prejeta vračila danih posojil - od javnih skladov,Prejeta vračila danih posojil - od javnih podjetij,Prejeta vračila danih posojil - od finančnih institucij,Prejeta vračila danih posojil - od privatnih podjetij in zasebnikov,Prejeta vračila danih posojil - od drugih lokalnih skupnosti ali ožjih delov lokalnih skupnosti,Prejeta vračila danih posojil - državnemu proračunu,,"Sredstva, pridobljena s prodajo kapitalskih deležev v javnih podjetjih ","Sredstva, pridobljena s prodajo kapitalskih deležev v finančnih institucijah","Sredstva, pridobljena s prodajo kapitalskih deležev v privatnih podjetjih",,Sredstva kupnin iz naslova privatizacije (kupnine od stanovanj),,,Dana posojila posameznikom,Dana posojila javnim skladom,Dana posojila javnim podjetjem,Dana posojila finančnim institucijam,Dana posojila privatnim podjetjem in zasebnikom,Dana posojila drugim lokalnim skupnostim ali ožjim delom lok. skupnosti,,Povečanje kapitalskih deležev v javnih podjetjih,Povečanje kapitalskih deležev v finančnih institucijah,Povečanje kapitalskih deležev v privatnih podjetjih,Skupna vlaganja (joint ventures),Povečanje kapitalskih deležev v tujino,Povečanje drugih finančnih naložb,,Dana posojila iz sredstev kupnin,"Sredstva kupnin, razporejena v javne sklade in agencije",
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2.,BELTINCI,71.320 ,71.320 ,0 ,0 ,0 ,62.139 ,0 ,9.180 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21.734 ,21.734 ,0 ,0 ,0 ,0 ,21.734 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,49.586 
3.,BENEDIKT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,22.087 ,22.087 ,851 ,0 ,0 ,21.236 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,63.370 ,62.928 ,0 ,0 ,0 ,62.928 ,0 ,0 ,442 ,442 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-41.283 
