,,II.,40,400,401,402,4020,4021,4022,4023,4024,4025,4026,4027,4028,4029,403,4031,4032,4033,4034,409,4090,4091,4093,41,410,4100,4102,411,4110,4111,4112,4113,4117,4119,412,4120,413,4130,4131,4132,4133,414,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4300,4301,4302,4303,4304,4305,4306,4307,4308,III.
,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)"
,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,
,,,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,REZERVE,REZERVE,REZERVE,REZERVE,410+411+412+413+414,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Najemnine in zakupnine (leasing),Kazni in odškodnine,Davek na izplačane plače,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti od vrednostnih papirjev, izdanih na domačem trgu",,Splošna proračunska rezervacija,Proračunska rezerva,Sredstva za posebne namene (sredstva proračunskih skladov),,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transfer vojnim invalidom, veteranom in žrtvam vojnega nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,Tekoči transferi drugim ravnem države,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v druge javne sklade in agencije,Tekoči trans. v javne zavode in dr. izvajalce javnih služb,,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektne dokumentacije, nadzor in investicijski inženiring",,,Investicijski transferi drugim ravnem države (drugim lokalnim skupnostim in ožjim delom lokalnih skupnostih),Investicijski transferi javnim skladom in agencijam,Investicijski transferi neprofitnim organizacijam ,Investicijski transferi javnim podjetjem,Kapitalski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem in zasebnikom,Investicijski transferi posameznikom ,Investicijski transferi javnim zavodom in drugim izvajalcem javnih služb,Investicijski transferi v tujino,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,10.774.061 ,1.351.294 ,445.531 ,65.189 ,803.251 ,53.601 ,1.014 ,134.397 ,7.261 ,1.431 ,361.572 ,0 ,0 ,22.021 ,221.954 ,1.619 ,1.619 ,0 ,0 ,0 ,35.704 ,14.839 ,20.865 ,0 ,3.459.623 ,15.181 ,0 ,15.181 ,1.749.190 ,0 ,0 ,22.772 ,0 ,0 ,1.726.419 ,200.221 ,200.221 ,1.495.030 ,194.095 ,92.405 ,28.422 ,1.180.108 ,0 ,5.284.648 ,5.284.648 ,30.283 ,0 ,98.761 ,0 ,4.211.117 ,488.341 ,247.054 ,0 ,209.093 ,678.497 ,678.497 ,286.488 ,0 ,72.021 ,154.482 ,0 ,0 ,73.827 ,91.679 ,0 ,-97.621 
2.,BELTINCI,3.653.312 ,1.041.853 ,209.198 ,30.024 ,785.940 ,65.882 ,39.955 ,134.092 ,6.934 ,2.208 ,352.441 ,100 ,0 ,0 ,184.328 ,0 ,0 ,0 ,0 ,0 ,16.692 ,0 ,16.692 ,0 ,1.491.806 ,85.196 ,0 ,85.196 ,923.399 ,13.005 ,0 ,0 ,0 ,0 ,910.394 ,183.926 ,183.926 ,299.284 ,0 ,106.938 ,10.100 ,182.247 ,0 ,430.946 ,430.946 ,0 ,0 ,6.916 ,3.719 ,233.946 ,21.136 ,37.324 ,0 ,127.905 ,688.707 ,688.707 ,44.070 ,0 ,49.060 ,0 ,0 ,18.223 ,0 ,577.353 ,0 ,167.497 
3.,BENEDIKT,1.786.219 ,269.718 ,91.154 ,13.663 ,141.277 ,30.518 ,16 ,13.637 ,3.941 ,3.437 ,9.853 ,513 ,0 ,4.248 ,75.114 ,15.796 ,15.796 ,0 ,0 ,0 ,7.828 ,835 ,6.993 ,0 ,629.283 ,15.105 ,0 ,15.105 ,98.143 ,0 ,0 ,0 ,0 ,0 ,98.143 ,59.832 ,59.832 ,456.204 ,0 ,14.137 ,0 ,442.067 ,0 ,865.331 ,865.331 ,5.817 ,6.124 ,17.573 ,0 ,562.139 ,193.721 ,46.017 ,0 ,33.940 ,21.887 ,21.887 ,0 ,0 ,0 ,0 ,0 ,0 ,21.887 ,0 ,0 ,17.343 
4.,BISTRICA OB SOTLI,860.962 ,178.931 ,52.470 ,7.157 ,96.670 ,25.288 ,8.897 ,28.706 ,163 ,1.865 ,11.304 ,2.379 ,0 ,1.427 ,16.642 ,7.119 ,0 ,0 ,7.119 ,0 ,15.515 ,6.418 ,9.097 ,0 ,401.348 ,2.408 ,0 ,2.408 ,211.321 ,0 ,480 ,0 ,0 ,0 ,210.841 ,30.588 ,30.588 ,157.031 ,0 ,18.770 ,159 ,138.103 ,0 ,249.445 ,249.445 ,0 ,0 ,6.414 ,1.527 ,155.709 ,10.023 ,49.866 ,0 ,25.906 ,31.239 ,31.239 ,0 ,0 ,6.468 ,0 ,0 ,0 ,0 ,24.770 ,0 ,32.991 
