,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,FI
,,,,,,,,,,,,,,,,STANJE SREDSTEV NA RAČUNIH OB KONCU PRETEKLEGA LETA,- OD TEGA PRESEŽEK FINANČNE IZRAVNAVE IZ PRETEKLEGA LETA
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,4.244 ,4.244 ,4.244 ,0 ,0 ,0 ,-101.865 ,97.621 ,442.134 ,0 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,160.202 ,-167.497 ,297.029 ,0 
3.,BENEDIKT,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17.343 ,-17.343 ,13.971 ,0 
4.,BISTRICA OB SOTLI,0 ,0 ,0 ,0 ,0 ,0 ,13.416 ,13.416 ,0 ,0 ,13.416 ,0 ,-13.825 ,-32.991 ,64.538 ,6.084 
5.,BLED,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,130.162 ,-79.636 ,0 ,0 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,597 ,597 ,597 ,0 ,0 ,0 ,25.626 ,-30.817 ,18.557 ,3.885 
7.,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,24.483 ,24.483 ,0 ,20.865 ,3.618 ,0 ,167.927 ,-193.181 ,225.255 ,0 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,162.773 ,-155.692 ,272.542 ,0 
9.,BOVEC,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,176.890 ,-249.470 ,23.973 ,0 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25.447 ,-21.612 ,96.753 ,0 
11.,BRDA,166.917 ,166.917 ,166.917 ,0 ,0 ,0 ,18.052 ,18.052 ,18.052 ,0 ,0 ,0 ,114.054 ,32.349 ,54.440 ,0 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-490.202 ,498.961 ,708.671 ,0 
13.,BREŽICE,166.917 ,166.917 ,166.917 ,0 ,0 ,0 ,43.131 ,43.131 ,0 ,0 ,43.131 ,0 ,-1.249.341 ,1.342.034 ,0 ,0 
14.,CANKOVA,47.712 ,47.712 ,0 ,0 ,47.712 ,0 ,18.939 ,18.939 ,18.939 ,0 ,0 ,0 ,108.465 ,-71.991 ,8.913 ,0 
