,,II.,40,400,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4028,4029,403,4031,4032,4033,4034,409,4090,4091,4093,41,410,4100,4102,411,4110,4111,4112,4113,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4300,4301,4302,4303,431,4310,4311,4312,4313,4314,4315,4316,III.
,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)"
,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,
,,,400+401+402+403+409,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,REZERVE,REZERVE,REZERVE,REZERVE,410+411+412+413+414,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,430+431,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI)
,- v EUR,,,,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,Premije kolektivnega dodatnega pokojninskega zavarovanja,,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Najemnine in zakupnine (leasing),Kazni in odškodnine,Davek na izplačane plače,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti od vrednostnih papirjev, izdanih na domačem trgu",,Splošna proračunska rezervacija,Proračunska rezerva,Sredstva za posebne namene (sredstva proračunskih skladov),,,Subvencije javnim podjetjem,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transfer vojnim invalidom, veteranom in žrtvam vojnega nasilja",Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektne dokumentacije, nadzor in investicijski inženiring",,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,Investicijski transferi neprofitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,9.736.964 ,1.636.234 ,501.152 ,83.400 ,39.801 ,31.885 ,267 ,451 ,10.996 ,1.005.442 ,41.224 ,2.487 ,127.725 ,7.244 ,672 ,431.518 ,0 ,0 ,24.975 ,369.596 ,1.557 ,1.557 ,0 ,0 ,0 ,44.684 ,23.819 ,20.865 ,0 ,3.639.029 ,27.779 ,0 ,27.779 ,1.831.335 ,0 ,0 ,4.695 ,0 ,0 ,1.826.640 ,216.683 ,216.683 ,1.563.232 ,198.135 ,97.955 ,16.867 ,1.250.275 ,0 ,0 ,0 ,3.508.221 ,3.508.221 ,35.441 ,0 ,84.322 ,1.794 ,2.767.852 ,241.057 ,226.498 ,0 ,151.256 ,953.480 ,518.812 ,296.390 ,0 ,0 ,222.421 ,434.669 ,151.027 ,209.101 ,0 ,0 ,74.541 ,0 ,0 ,933.805 
2.,BELTINCI,3.305.968 ,1.132.218 ,181.337 ,32.299 ,14.218 ,11.390 ,96 ,161 ,6.434 ,893.544 ,60.917 ,42.288 ,131.511 ,5.604 ,2.340 ,466.849 ,102 ,0 ,6.504 ,177.429 ,0 ,0 ,0 ,0 ,0 ,25.038 ,0 ,25.038 ,0 ,1.469.249 ,68.122 ,0 ,68.122 ,785.980 ,5.103 ,0 ,0 ,0 ,0 ,780.877 ,167.339 ,167.339 ,447.808 ,3.672 ,87.033 ,2.795 ,354.307 ,0 ,0 ,0 ,127.126 ,127.126 ,0 ,0 ,9.467 ,5.813 ,83.282 ,357 ,513 ,0 ,27.694 ,577.376 ,223.927 ,52.818 ,0 ,0 ,171.109 ,353.449 ,99.487 ,253.962 ,0 ,0 ,0 ,0 ,0 ,453.726 
3.,BENEDIKT,2.392.310 ,299.508 ,95.898 ,16.759 ,7.905 ,6.068 ,51 ,86 ,2.650 ,140.986 ,39.309 ,0 ,11.910 ,5.118 ,3.872 ,18.066 ,7.513 ,0 ,4.440 ,50.758 ,39.424 ,39.424 ,0 ,0 ,0 ,6.441 ,0 ,6.441 ,0 ,501.406 ,15.005 ,0 ,15.005 ,162.382 ,0 ,0 ,0 ,0 ,0 ,162.382 ,100.869 ,100.869 ,223.150 ,0 ,12.848 ,0 ,210.302 ,0 ,0 ,0 ,1.591.395 ,1.591.395 ,147.766 ,0 ,9.069 ,0 ,1.389.156 ,0 ,35.383 ,0 ,10.021 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-294.661 
4.,BISTRICA OB SOTLI,894.984 ,210.232 ,55.880 ,9.001 ,4.177 ,3.247 ,29 ,46 ,1.502 ,138.074 ,30.763 ,13.295 ,20.877 ,8 ,4.060 ,52.992 ,1.202 ,0 ,1.327 ,13.549 ,7.278 ,1.869 ,8 ,5.400 ,0 ,0 ,0 ,0 ,0 ,417.831 ,8.713 ,0 ,8.713 ,206.935 ,0 ,751 ,0 ,0 ,0 ,206.184 ,33.968 ,33.968 ,168.215 ,805 ,15.056 ,154 ,152.199 ,0 ,0 ,0 ,219.221 ,219.221 ,0 ,0 ,5.917 ,0 ,132.549 ,30.504 ,0 ,0 ,50.250 ,47.701 ,47.701 ,2.475 ,0 ,0 ,45.226 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.066 
5.,BLED,7.716.733 ,2.451.168 ,504.949 ,90.390 ,40.473 ,32.424 ,275 ,459 ,16.758 ,1.855.295 ,265.874 ,32.916 ,207.403 ,12.773 ,5.805 ,969.859 ,54.210 ,88 ,29.736 ,276.632 ,534 ,534 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2.570.827 ,22.196 ,9.268 ,12.928 ,106.059 ,7.745 ,23.539 ,0 ,0 ,0 ,74.775 ,310.190 ,310.190 ,2.132.382 ,0 ,32.645 ,5.083 ,2.094.654 ,0 ,0 ,0 ,2.368.302 ,2.368.302 ,0 ,0 ,34.180 ,0 ,1.523.143 ,174.069 ,97.642 ,0 ,539.267 ,326.435 ,231.088 ,0 ,0 ,0 ,231.088 ,95.347 ,95.347 ,0 ,0 ,0 ,0 ,0 ,0 ,-776.273 
6.,BLOKE,1.217.165 ,201.377 ,50.961 ,9.130 ,4.171 ,3.342 ,28 ,85 ,1.503 ,139.590 ,30.727 ,0 ,28.282 ,0 ,2.304 ,11.166 ,0 ,0 ,2.696 ,64.415 ,39 ,39 ,0 ,0 ,0 ,1.658 ,0 ,1.658 ,0 ,495.953 ,16.203 ,16.203 ,0 ,185.535 ,0 ,1.251 ,13.402 ,0 ,0 ,170.882 ,33.961 ,33.961 ,260.254 ,0 ,10.245 ,199 ,106.497 ,143.314 ,0 ,0 ,456.292 ,456.292 ,0 ,0 ,9.446 ,1.387 ,321.708 ,61.035 ,29.166 ,0 ,33.551 ,63.543 ,6.577 ,0 ,0 ,0 ,6.577 ,56.967 ,28.167 ,28.800 ,0 ,0 ,0 ,0 ,0 ,-32.879 
7.,BOHINJ,3.808.504 ,1.749.241 ,414.751 ,73.402 ,33.012 ,26.060 ,221 ,371 ,13.737 ,1.214.768 ,89.651 ,185.416 ,532.002 ,164.564 ,8.112 ,71.466 ,13.554 ,0 ,14.171 ,135.833 ,12.794 ,0 ,9.923 ,2.871 ,0 ,33.525 ,8.129 ,19.613 ,5.784 ,1.255.462 ,222.680 ,0 ,222.680 ,579.507 ,1.582 ,9.139 ,0 ,0 ,16.625 ,552.162 ,116.508 ,116.508 ,336.768 ,18.549 ,10.449 ,0 ,307.770 ,0 ,0 ,0 ,581.864 ,581.864 ,0 ,67.059 ,77.742 ,2.721 ,203.468 ,157.073 ,2.420 ,0 ,71.382 ,221.937 ,88.842 ,49.658 ,0 ,0 ,39.184 ,133.095 ,98.756 ,34.339 ,0 ,0 ,0 ,0 ,0 ,360.983 
8.,BOROVNICA ,1.833.333 ,492.743 ,73.297 ,15.023 ,8.179 ,4.749 ,46 ,67 ,1.982 ,383.688 ,14.155 ,0 ,70.314 ,0 ,605 ,195.589 ,24.466 ,0 ,3.551 ,75.008 ,0 ,0 ,0 ,0 ,0 ,20.735 ,4.044 ,16.692 ,0 ,760.124 ,22.338 ,0 ,22.338 ,418.023 ,0 ,0 ,0 ,0 ,0 ,418.023 ,83.838 ,83.838 ,235.925 ,0 ,17.906 ,0 ,218.019 ,0 ,0 ,0 ,398.022 ,398.022 ,0 ,0 ,4.236 ,0 ,93.490 ,156.326 ,1.924 ,0 ,142.046 ,182.445 ,14.735 ,0 ,0 ,0 ,14.735 ,167.710 ,37.556 ,130.154 ,0 ,0 ,0 ,0 ,0 ,506.819 
9.,BOVEC,3.329.536 ,1.090.795 ,233.771 ,33.888 ,15.598 ,12.494 ,104 ,175 ,5.517 ,823.135 ,108.417 ,342 ,109.552 ,2.032 ,36.267 ,415.089 ,96.102 ,0 ,7.791 ,47.542 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.021.845 ,12.122 ,0 ,12.122 ,317.192 ,7.511 ,1.218 ,0 ,551 ,0 ,307.912 ,133.417 ,133.417 ,559.114 ,1.527 ,18.582 ,6.030 ,532.974 ,0 ,0 ,0 ,950.701 ,950.701 ,71.979 ,0 ,33.559 ,1.027 ,473.544 ,260.916 ,6.898 ,0 ,102.779 ,266.195 ,160.812 ,116.066 ,0 ,0 ,44.746 ,105.383 ,17.985 ,87.398 ,0 ,0 ,0 ,0 ,0 ,88.299 
10.,BRASLOVČE,2.095.159 ,580.550 ,133.613 ,22.096 ,10.683 ,8.559 ,71 ,121 ,2.662 ,412.965 ,81.547 ,4.177 ,50.017 ,3.530 ,1.819 ,169.942 ,4.924 ,0 ,7.194 ,89.814 ,0 ,0 ,0 ,0 ,0 ,11.876 ,3.530 ,8.346 ,0 ,886.868 ,31.339 ,0 ,31.339 ,626.765 ,0 ,6.606 ,0 ,0 ,0 ,620.159 ,90.490 ,90.490 ,138.274 ,0 ,37.953 ,0 ,100.321 ,0 ,0 ,0 ,311.221 ,311.221 ,0 ,0 ,10.783 ,4.465 ,140.406 ,72.488 ,0 ,0 ,83.079 ,316.521 ,23.840 ,0 ,0 ,0 ,23.840 ,292.681 ,22.283 ,265.886 ,0 ,0 ,4.511 ,0 ,0 ,172.822 
11.,BRDA,3.244.325 ,985.658 ,192.105 ,32.987 ,15.344 ,12.206 ,100 ,175 ,5.162 ,726.920 ,182.015 ,0 ,87.060 ,9.197 ,5.517 ,329.019 ,4.628 ,2.508 ,9.927 ,97.050 ,29.473 ,29.473 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,1.438.679 ,40.356 ,0 ,40.356 ,914.263 ,0 ,0 ,2.825 ,0 ,0 ,911.438 ,190.411 ,190.411 ,293.649 ,2.921 ,0 ,21.123 ,269.604 ,0 ,0 ,0 ,591.938 ,591.938 ,5.859 ,0 ,33.417 ,0 ,473.581 ,51.114 ,19.212 ,0 ,8.755 ,228.050 ,87.218 ,0 ,0 ,0 ,87.218 ,140.832 ,12.210 ,128.622 ,0 ,0 ,0 ,0 ,0 ,218.707 
12.,BREZOVICA,4.160.086 ,847.021 ,149.871 ,30.412 ,12.832 ,10.282 ,88 ,146 ,7.065 ,660.478 ,218.002 ,0 ,82.449 ,5.717 ,0 ,262.631 ,0 ,0 ,4.887 ,86.793 ,0 ,0 ,0 ,0 ,0 ,6.259 ,0 ,6.259 ,0 ,1.866.800 ,68.570 ,0 ,68.570 ,515.156 ,0 ,5.195 ,3.902 ,0 ,0 ,506.059 ,136.275 ,136.275 ,1.146.799 ,55.012 ,63.416 ,0 ,1.028.372 ,0 ,0 ,0 ,635.336 ,635.336 ,0 ,25.338 ,88.700 ,0 ,294.784 ,139.760 ,4.644 ,0 ,82.111 ,810.929 ,713.967 ,536.150 ,0 ,0 ,177.817 ,96.962 ,8.346 ,88.616 ,0 ,0 ,0 ,0 ,0 ,733.609 
13.,BREŽICE,14.965.181 ,4.285.069 ,729.828 ,124.662 ,56.940 ,45.618 ,384 ,643 ,21.077 ,3.401.415 ,851.640 ,17.877 ,342.802 ,40.941 ,10.403 ,1.784.748 ,38.554 ,59.431 ,32.570 ,222.450 ,17.480 ,5.817 ,0 ,11.663 ,0 ,11.684 ,3.338 ,8.346 ,0 ,7.209.665 ,113.850 ,0 ,113.850 ,2.665.461 ,13.729 ,0 ,3.267 ,1.527 ,0 ,2.646.937 ,670.109 ,670.109 ,3.760.245 ,1.589.426 ,194.930 ,4.014 ,1.971.874 ,0 ,0 ,0 ,2.004.006 ,2.004.006 ,0 ,0 ,150.822 ,0 ,1.033.475 ,412.047 ,85.411 ,0 ,322.250 ,1.466.441 ,339.038 ,0 ,0 ,0 ,339.038 ,1.127.404 ,0 ,1.127.404 ,0 ,0 ,0 ,0 ,0 ,234.427 
14.,CANKOVA,1.341.362 ,374.452 ,117.414 ,15.859 ,7.628 ,6.111 ,52 ,86 ,1.982 ,225.392 ,17.840 ,2.663 ,64.740 ,4.847 ,436 ,87.461 ,1.312 ,0 ,3.578 ,42.516 ,15.788 ,15.788 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,327.251 ,21.966 ,0 ,21.966 ,194.300 ,2.274 ,772 ,0 ,0 ,0 ,191.254 ,17.559 ,17.559 ,93.425 ,4.114 ,27.326 ,3.544 ,58.441 ,0 ,0 ,0 ,628.785 ,628.785 ,0 ,0 ,19.445 ,0 ,570.706 ,0 ,0 ,0 ,38.634 ,10.875 ,6.702 ,6.702 ,0 ,0 ,0 ,4.173 ,4.173 ,0 ,0 ,0 ,0 ,0 ,0 ,-195.826 
