,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7047,706,7060,71,710,7100,7101,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+74,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,KAPITALSKI PRIHODKI,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,PREJETE DONACIJE,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI,TRANSFERNI PRIHODKI
,,,,700+703+704+706,"DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,710+711+712+713+714,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,DENARNE KAZNI ,DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,740+741,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE
,- v EUR,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve ,Dovoljenja za poslovanje in za opravljanje dejavnosti ,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,"Prihodki od udeležbe na dobičku in divident javnih podjetij, javnih skladov in javnih finančnih institucij",Prihodki od udeležbe na dobič. drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja ,,Upravne takse in pristojbine,,Denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih dolgoročnih sredstev,,,Prejete donacije in darila od domačih pravnih oseb,Prejete donacije in darila od domačih fizičnih oseb,,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,Prejete donacije in darila od tujih vlad in vladnih institucij,Prejete donacije in darila od tujih pravnih oseb,Prejete donacije in darila od tujih fizičnih oseb,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz občinskih proračunov,Prejeta sredstva iz skladov socialnega zavarovanja ,Prejeta sredstva iz javnih skladov,Prejeta sredstva iz javnih agencij,,Prejeta sredstva iz državnega proračuna iz predpristopnih pomoči Evropske unije,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje skupne kmetijske politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za strukturno politiko,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za kohezijsko politiko,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje notranje politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz naslova pavšalnih povračil,Druga prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije,Prejeta sredstva iz državnega proračuna - iz sredstev drugih evropskih institucij
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,10.670.769 ,7.394.112 ,6.216.775 ,4.648.652 ,4.648.652 ,750.872 ,522.229 ,0 ,51.832 ,176.811 ,817.251 ,87.439 ,0 ,729.811 ,0 ,0 ,1.177.337 ,650.801 ,0 ,4 ,18.657 ,632.140 ,24.983 ,24.983 ,13.687 ,13.687 ,5.496 ,5.496 ,482.369 ,482.369 ,401.131 ,27.487 ,25.906 ,0 ,0 ,1.582 ,0 ,373.644 ,1.018 ,372.626 ,0 ,625.626 ,0 ,0 ,0 ,625.626 ,0 ,625.626 ,0 ,0 ,2.249.900 ,2.249.900 ,2.121.766 ,128.134 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
2.,BELTINCI,3.759.694 ,2.215.167 ,1.791.017 ,1.445.825 ,1.445.825 ,174.731 ,129.626 ,0 ,2.983 ,42.122 ,170.460 ,6.357 ,0 ,164.103 ,0 ,0 ,424.150 ,74.251 ,7.408 ,0 ,43.881 ,22.962 ,8.564 ,8.564 ,3.444 ,3.444 ,35.422 ,35.422 ,302.469 ,302.469 ,124.605 ,104.595 ,99.992 ,0 ,167 ,4.435 ,0 ,20.010 ,0 ,20.010 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.419.923 ,1.419.923 ,1.416.250 ,3.672 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
3.,BENEDIKT,2.097.649 ,1.093.416 ,343.280 ,249.723 ,249.723 ,23.218 ,8.936 ,0 ,1.087 ,13.195 ,70.339 ,0 ,0 ,70.339 ,0 ,0 ,750.136 ,10.298 ,0 ,719 ,363 ,9.216 ,2.992 ,2.992 ,2.856 ,2.856 ,87.021 ,87.021 ,646.969 ,646.969 ,96.746 ,1.851 ,1.851 ,0 ,0 ,0 ,0 ,94.895 ,0 ,94.895 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,907.487 ,907.487 ,907.487 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
4.,BISTRICA OB SOTLI,897.050 ,343.144 ,281.643 ,184.360 ,184.360 ,44.137 ,42.284 ,0 ,330 ,1.523 ,53.146 ,305 ,0 ,52.842 ,0 ,0 ,61.501 ,18.716 ,0 ,0 ,3.714 ,15.002 ,3.551 ,3.551 ,1.344 ,1.344 ,4.653 ,4.653 ,33.237 ,33.237 ,5.504 ,497 ,497 ,0 ,0 ,0 ,0 ,5.008 ,0 ,5.008 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,548.402 ,548.402 ,503.547 ,9.873 ,0 ,34.982 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
