,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009,FI
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",,
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo,od tega presežek finančne izravnave iz preteklega leta
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,3.326 ,3.326 ,3.326 ,0 ,0 ,0 ,928.493 ,-3.326 ,-933.805 ,333.029 ,333.029 ,43.732 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,473.479 ,0 ,-453.726 ,454.160 ,454.160 ,4.841 
3.,BENEDIKT,312.969 ,312.969 ,208.646 ,0 ,104.323 ,0 ,30.675 ,30.675 ,30.675 ,0 ,0 ,0 ,-3.150 ,282.294 ,294.661 ,27.650 ,27.650 ,0 
4.,BISTRICA OB SOTLI,0 ,0 ,0 ,0 ,0 ,0 ,11.784 ,11.784 ,0 ,0 ,11.784 ,0 ,-9.719 ,-11.784 ,-2.066 ,57.545 ,57.545 ,9.256 
5.,BLED,1.112.919 ,1.112.919 ,1.112.919 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,378.317 ,1.112.919 ,776.273 ,820.322 ,820.322 ,0 
