,,50,500,5001,5002,5003,5004,55,550,5501,5502,5503,5504,IX.,X.,XI.,XII.,9009
,,,,,,,,,,,,,,,,,"STANJE SREDSTEV NA RAČUNIH
DNE 31. 12. PRETEKLEGA LETA",
,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,POVEČANJE (ZMANJŠANJE) SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,,
,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+VII.-VIII.-IX.=-III),,
,- v EUR,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,"Sredstva, pridobljena z izdajo vrednostnih papirjev na domačem trgu",,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,"Odplačila glavnice vrednostnih papirjev, izdanih na domačem trgu",,,,,Splošni sklad za drugo
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,
1.,AJDOVŠČINA,0 ,0 ,0 ,0 ,0 ,0 ,3.539 ,3.539 ,3.539 ,0 ,0 ,0 ,-651.911 ,-3.539 ,786.693 ,2.427.992 ,2.427.992 
2.,BELTINCI,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-611.371 ,0 ,611.371 ,1.114.342 ,1.114.342 
3.,BENEDIKT,357.382 ,357.382 ,357.382 ,0 ,0 ,0 ,253.560 ,253.560 ,253.560 ,0 ,0 ,0 ,6.398 ,103.822 ,97.424 ,24.854 ,24.854 
4.,BISTRICA OB SOTLI,0 ,0 ,0 ,0 ,0 ,0 ,13.006 ,13.006 ,0 ,0 ,13.006 ,0 ,-42.868 ,-13.006 ,29.861 ,171.125 ,171.125 
5.,BLED,0 ,0 ,0 ,0 ,0 ,0 ,108.014 ,108.014 ,108.014 ,0 ,0 ,0 ,-1.223.498 ,-108.014 ,1.136.258 ,865.294 ,865.294 
6.,BLOKE,0 ,0 ,0 ,0 ,0 ,0 ,629 ,629 ,629 ,0 ,0 ,0 ,-15 ,-629 ,145 ,105.750 ,105.750 
7.,BOHINJ,0 ,0 ,0 ,0 ,0 ,0 ,20.865 ,20.865 ,0 ,20.865 ,0 ,0 ,-448.556 ,-20.865 ,482.795 ,1.071.520 ,1.071.520 
8.,BOROVNICA ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1.090.640 ,0 ,1.094.659 ,1.078.835 ,1.078.835 
9.,BOVEC,333.509 ,333.509 ,0 ,0 ,333.509 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-17.134 ,333.509 ,302.554 ,535.407 ,535.407 
10.,BRASLOVČE,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-162.327 ,0 ,167.197 ,304.248 ,304.248 
11.,BRDA,0 ,0 ,0 ,0 ,0 ,0 ,30.830 ,30.830 ,30.830 ,0 ,0 ,0 ,-182.678 ,-30.830 ,125.776 ,411.989 ,411.989 
12.,BREZOVICA,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1.091.532 ,0 ,-1.091.532 ,2.093.232 ,2.093.232 
13.,BREŽICE,834.585 ,834.585 ,834.585 ,0 ,0 ,0 ,72.179 ,72.179 ,23.844 ,0 ,48.335 ,0 ,268.407 ,762.406 ,434.164 ,651.077 ,651.077 
14.,CANKOVA,0 ,0 ,0 ,0 ,0 ,0 ,17.516 ,17.516 ,17.516 ,0 ,0 ,0 ,120.328 ,-17.516 ,-135.309 ,47.325 ,47.325 
15.,MESTNA OBČINA CELJE,4.046.069 ,4.046.069 ,2.585.545 ,0 ,1.460.524 ,0 ,503.960 ,503.960 ,503.960 ,0 ,0 ,0 ,-833.342 ,3.542.109 ,4.376.189 ,1.839.288 ,1.839.288 
16.,CERKLJE NA GORENJSKEM,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,468.023 ,0 ,-431.585 ,1.098.406 ,1.098.406 
