,,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,- V EUR
,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4028,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4113,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
,,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Davek na izplačane plače,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,"Transferi vojnim invalidom, veteranom in žrtvam vojnega nasilja",Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,Investicijski transferi neprofitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,OBČINA AJDOVŠČINA,"15.429.143,64 ","2.226.875,07 ","566.821,51 ","497.251,23 ","20.026,00 ","35.266,69 ","9.281,27 ","4.011,00 ","0,00 ","985,32 ","91.478,74 ","45.072,69 ","36.109,08 ","305,55 ","509,29 ","9.482,13 ","1.542.322,91 ","72.511,99 ","2.032,32 ","241.745,98 ","12.992,62 ","1.062,08 ","567.154,70 ","861,01 ","793,84 ","20.545,84 ","622.622,53 ","5.387,28 ","5.387,28 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","20.864,63 ","0,00 ","20.864,63 ","0,00 ","0,00 ","0,00 ","4.608.325,65 ","202.354,37 ","0,00 ","0,00 ","202.354,37 ","2.213.270,22 ","0,00 ","0,00 ","5.088,88 ","0,00 ","0,00 ","0,00 ","2.208.181,34 ","387.612,16 ","387.612,16 ","1.805.088,90 ","48.262,66 ","120.835,20 ","7.988,41 ","1.628.002,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.245.887,14 ","7.245.887,14 ","169.437,65 ","0,00 ","627.503,65 ","0,00 ","4.515.282,48 ","450.549,39 ","1.236.215,23 ","0,00 ","246.898,74 ","1.348.055,78 ","511.970,24 ","122.595,43 ","388.222,89 ","0,00 ","0,00 ","1.151,92 ","0,00 ","0,00 ","836.085,54 ","0,00 ","0,00 ","0,00 ","836.085,54 ","-229.359,69 ","-274.984,13 ","5.230.159,89 "
2.,OBČINA APAČE,"1.724.953,40 ","526.852,80 ","137.202,30 ","126.742,60 ","2.430,13 ","6.824,94 ","1.204,63 ","0,00 ","0,00 ","0,00 ","16.386,60 ","8.375,93 ","6.709,99 ","56,63 ","94,93 ","1.149,12 ","357.137,97 ","74.173,57 ","11.681,53 ","88.876,32 ","0,00 ","2.632,47 ","134.467,90 ","0,00 ","0,00 ","3.824,24 ","41.481,94 ","12.792,51 ","12.792,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.333,42 ","0,00 ","3.333,42 ","0,00 ","0,00 ","0,00 ","767.490,63 ","6.830,76 ","701,48 ","0,00 ","6.129,28 ","398.457,09 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.500,00 ","396.957,09 ","90.125,09 ","90.125,09 ","272.077,69 ","0,00 ","34.860,14 ","2.551,74 ","234.665,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","323.726,32 ","323.726,32 ","0,00 ","0,00 ","55.505,73 ","0,00 ","172.587,15 ","24.335,04 ","0,00 ","0,00 ","71.298,40 ","106.883,65 ","43.785,38 ","20.000,00 ","23.785,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","63.098,27 ","39.263,42 ","0,00 ","0,00 ","23.834,85 ","461.309,44 ","465.882,63 ","781.627,26 "
3.,OBČINA BELTINCI,"5.158.258,52 ","1.215.919,55 ","209.399,66 ","182.971,86 ","8.034,50 ","11.965,71 ","5.880,10 ","0,00 ","0,00 ","547,49 ","34.739,10 ","15.586,96 ","14.532,57 ","105,24 ","197,08 ","4.317,25 ","959.260,79 ","73.218,34 ","100.372,75 ","188.649,70 ","5.840,36 ","1.330,69 ","347.165,86 ","0,00 ","0,00 ","5.483,22 ","237.199,87 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.520,00 ","0,00 ","12.520,00 ","0,00 ","0,00 ","0,00 ","2.124.907,81 ","13.547,58 ","0,00 ","0,00 ","13.547,58 ","1.211.430,03 ","0,00 ","9.389,25 ","3.264,63 ","0,00 ","0,00 ","0,00 ","1.198.776,15 ","178.253,34 ","178.253,34 ","721.676,86 ","0,00 ","95.883,64 ","2.752,70 ","553.040,52 ","70.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.086.300,91 ","1.086.300,91 ","27.355,63 ","9.400,00 ","35.587,82 ","124.856,61 ","521.555,07 ","620,40 ","162.071,32 ","0,00 ","204.854,06 ","731.130,25 ","182.657,07 ","107.302,97 ","75.354,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","548.473,18 ","86.024,65 ","50.000,00 ","0,00 ","412.448,53 ","584.867,10 ","571.746,11 ","1.798.588,85 "
4.,OBČINA BENEDIKT,"2.884.478,00 ","466.723,00 ","120.986,00 ","108.681,00 ","3.876,00 ","6.331,00 ","2.098,00 ","0,00 ","0,00 ","0,00 ","20.597,00 ","10.692,00 ","7.819,00 ","67,00 ","110,00 ","1.909,00 ","279.909,00 ","52.259,00 ","79,00 ","39.830,00 ","4.057,00 ","4.585,00 ","20.969,00 ","93.215,00 ","0,00 ","4.391,00 ","60.524,00 ","32.360,00 ","32.360,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.871,00 ","2.246,00 ","10.625,00 ","0,00 ","0,00 ","0,00 ","761.595,00 ","214,00 ","0,00 ","0,00 ","214,00 ","314.487,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","314.487,00 ","71.986,00 ","71.986,00 ","374.908,00 ","0,00 ","13.590,00 ","0,00 ","361.318,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.644.701,00 ","1.644.701,00 ","0,00 ","0,00 ","5.242,00 ","0,00 ","1.597.711,00 ","0,00 ","0,00 ","0,00 ","41.748,00 ","11.459,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.459,00 ","11.459,00 ","0,00 ","0,00 ","0,00 ","67.265,00 ","98.810,00 ","213.514,00 "
