,,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,- V EUR
,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7040,7044,7045,7046,7047,706,7060,71,710,7100,7101,7102,7103,711,7110,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,732,7320,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417,78,782,7821,7822,786,7860,787,7870
,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70+71+72+73+74+78,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,"KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI",PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE
,,,,"700+703+704
+706","DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,"710+711+712
+713+714",UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,GLOBE IN DRUGE DENARNE KAZNI ,GLOBE IN DRUGE DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731+732,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,740+741,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,782+786+787,PREJETA SREDSTVA IZ PRORAČUNA EU ZA STRUKTURNO POLITIKO,PREJETA SREDSTVA IZ PRORAČUNA EU ZA STRUKTURNO POLITIKO,PREJETA SREDSTVA IZ PRORAČUNA EU ZA STRUKTURNO POLITIKO,OSTALA PREJETA SREDSTVA IZ PRORAČUNA EVROPSKE UNIJE,OSTALA PREJETA SREDSTVA IZ PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ
,,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davek na dodano vrednost,Davki na posebne storitve,Dovoljenja za poslovanje in za opravljanje dejavnosti,Letna povračila za uporabo cest,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki,***Prihodki od udeležbe na dobičku in dividend drugih podjetij in finančnih institucij,Prihodki od obresti,Prihodki od premoženja,,Sodne takse,Upravne takse in pristojbine,,Globe in druge denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje prevoznih sredstev,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih dolgoročnih sredstev,,,Prejete donacije in darila od domačih pravnih oseb,Prejete donacije in darila od domačih fizičnih oseb,,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,Prejete donacije in darila od tujih vlad in vladnih institucij,Prejete donacije in darila od tujih pravnih oseb,Prejete donacije in darila od tujih fizičnih oseb,,Donacije za odpravo posledic naravnih nesreč,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz občinskih proračunov,Prejeta sredstva iz skladov socialnega zavarovanja,Prejeta sredstva iz javnih skladov,Prejeta sredstva iz javnih agencij,,Prejeta sredstva iz državnega proračuna iz predpristopnih pomoči Evropske unije,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje skupne kmetijske politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za strukturno politiko,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za kohezijsko politiko,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje notranje politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz naslova pavšalnih povračil,Druga prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije,Prejeta sredstva iz državnega proračuna - iz sredstev drugih evropskih institucij,,,Prejeta sredstva iz proračuna EU iz Evropskega sklada za regionalni razvoj (ERDF),Prejeta sredstva iz Evropskega socialnega sklada (ESF),,Ostala prejeta sredstva iz proračuna EU,,Prejeta sredstva od drugih evropskih institucij
"Zap.
št.",OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,OBČINA AJDOVŠČINA,"15.199.783,95 ","12.065.360,61 ","10.066.535,52 ","8.250.826,00 ","8.250.826,00 ","1.169.052,33 ","754.034,69 ","34,62 ","57.802,89 ","357.180,13 ","646.657,19 ","0,00 ","70.381,69 ","0,00 ","0,00 ","576.275,50 ","0,00 ","0,00 ","1.998.825,09 ","1.093.533,38 ","255.104,01 ","0,00 ","51.011,72 ","787.417,65 ","21.199,04 ","0,00 ","21.199,04 ","14.708,45 ","14.708,45 ","27.464,79 ","27.464,79 ","841.919,43 ","841.919,43 ","1.813.255,85 ","507.703,97 ","507.703,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.305.551,88 ","0,00 ","1.305.551,88 ","0,00 ","85.005,59 ","5.851,06 ","5.851,06 ","0,00 ","79.154,53 ","0,00 ","79.154,53 ","0,00 ","0,00 ","0,00 ","0,00 ","1.236.161,90 ","1.236.161,90 ","740.355,88 ","24.028,66 ","0,00 ","67.184,10 ","404.593,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
2.,OBČINA APAČE,"2.186.262,84 ","2.075.970,69 ","1.961.381,30 ","1.853.186,00 ","1.853.186,00 ","67.699,12 ","56.734,61 ","0,00 ","329,13 ","10.635,38 ","40.496,18 ","0,00 ","228,83 ","0,00 ","0,00 ","40.267,35 ","0,00 ","0,00 ","114.589,39 ","48.192,89 ","0,00 ","0,00 ","8.219,32 ","39.973,57 ","1.681,87 ","0,00 ","1.681,87 ","661,70 ","661,70 ","22.287,29 ","22.287,29 ","41.765,64 ","41.765,64 ","25.240,00 ","25.240,00 ","25.240,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","85.052,15 ","85.052,15 ","85.052,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
3.,OBČINA BELTINCI,"5.743.125,62 ","5.139.416,21 ","4.346.168,72 ","3.812.415,00 ","3.812.415,00 ","337.729,91 ","265.515,27 ","0,00 ","12.423,16 ","59.791,48 ","196.023,81 ","0,00 ","5.013,96 ","0,00 ","0,00 ","191.009,85 ","0,00 ","0,00 ","793.247,49 ","65.038,52 ","6.480,64 ","0,00 ","13.120,99 ","45.436,89 ","10.610,09 ","0,00 ","10.610,09 ","2.834,50 ","2.834,50 ","28.808,31 ","28.808,31 ","685.956,07 ","685.956,07 ","64.583,22 ","4.796,10 ","3.837,77 ","958,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","59.787,12 ","3.174,02 ","56.613,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","539.126,19 ","539.126,19 ","537.926,19 ","0,00 ","0,00 ","1.200,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
4.,OBČINA BENEDIKT,"2.951.743,00 ","1.441.832,00 ","1.234.914,00 ","1.123.191,00 ","1.123.191,00 ","53.222,00 ","10.966,00 ","0,00 ","10.461,00 ","31.795,00 ","58.501,00 ","0,00 ","589,00 ","0,00 ","0,00 ","57.912,00 ","0,00 ","0,00 ","206.918,00 ","31.603,00 ","974,00 ","0,00 ","815,00 ","29.814,00 ","1.358,00 ","0,00 ","1.358,00 ","641,00 ","641,00 ","101.099,00 ","101.099,00 ","72.217,00 ","72.217,00 ","562.010,00 ","2.176,00 ","2.176,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","559.834,00 ","11.200,00 ","48.634,00 ","500.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","947.901,00 ","947.901,00 ","947.901,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
