,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4028,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4134,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
,,,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Davek na izplačane plače,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi neprofitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,Tekoči transferi v državni proračun,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,Investicijski transferi neprofitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"15.182.726,41 ","2.484.692,50 ","632.882,28 ","550.210,25 ","21.720,00 ","38.321,16 ","11.576,01 ","1.738,90 ","0,00 ","9.315,96 ","101.794,23 ","50.268,31 ","40.271,48 ","340,73 ","568,96 ","10.344,75 ","1.692.864,80 ","86.229,84 ","1.815,14 ","283.020,02 ","10.602,35 ","1.103,38 ","692.967,59 ","1.075,71 ","0,00 ","11.384,68 ","604.666,09 ","945,48 ","945,48 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","56.205,71 ","0,00 ","20.864,63 ","35.341,08 ","0,00 ","0,00 ","4.983.015,37 ","203.406,61 ","0,00 ","0,00 ","203.406,61 ","2.424.117,05 ","0,00 ","0,00 ","7.136,36 ","0,00 ","0,00 ","2.416.980,69 ","457.637,71 ","457.637,71 ","1.897.854,00 ","0,00 ","130.781,67 ","7.623,60 ","1.759.448,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.392.643,47 ","6.392.643,47 ","124.563,48 ","0,00 ","298.010,09 ","0,00 ","4.607.218,80 ","650.311,63 ","408.420,74 ","0,00 ","304.118,73 ","1.322.375,07 ","839.326,77 ","143.232,72 ","696.094,05 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","483.048,30 ","0,00 ","0,00 ","0,00 ","483.048,30 ","112.793,87 ","69.640,21 ","5.472.722,24 "
2.,195 ,OBČINA APAČE,"3.136.961,77 ","826.306,01 ","211.612,07 ","190.108,33 ","6.048,00 ","10.798,10 ","3.509,90 ","1.147,74 ","0,00 ","0,00 ","28.759,87 ","14.425,72 ","11.350,24 ","95,97 ","161,19 ","2.726,75 ","552.651,67 ","102.555,75 ","11.834,79 ","143.584,19 ","0,00 ","17.844,49 ","179.544,52 ","0,00 ","6.102,56 ","3.295,75 ","87.889,62 ","13.196,80 ","13.196,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","20.085,60 ","0,00 ","20.085,60 ","0,00 ","0,00 ","0,00 ","910.321,69 ","44.563,29 ","0,00 ","0,00 ","44.563,29 ","455.671,87 ","0,00 ","0,00 ","0,00 ","0,00 ","1.575,00 ","454.096,87 ","107.273,91 ","107.273,91 ","302.812,62 ","0,00 ","33.179,92 ","3.503,49 ","266.129,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.273.286,00 ","1.273.286,00 ","0,00 ","0,00 ","4.083,57 ","0,00 ","1.015.165,88 ","6.260,00 ","0,00 ","0,00 ","247.776,55 ","127.048,07 ","27.072,00 ","22.072,00 ","0,00 ","0,00 ","0,00 ","5.000,00 ","0,00 ","0,00 ","99.976,07 ","52.105,88 ","0,00 ","0,00 ","47.870,19 ","-187.435,15 ","-186.001,26 ","544.018,64 "
3.,2 ,OBČINA BELTINCI,"6.850.581,51 ","1.292.997,38 ","230.328,66 ","200.314,34 ","9.675,87 ","13.957,89 ","4.852,45 ","0,00 ","0,00 ","1.528,11 ","37.786,88 ","18.162,33 ","14.550,23 ","123,09 ","205,51 ","4.745,72 ","1.016.381,84 ","73.847,28 ","79.252,97 ","239.270,52 ","7.416,99 ","1.139,68 ","347.693,08 ","0,00 ","0,00 ","3.916,57 ","263.844,75 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.500,00 ","0,00 ","8.500,00 ","0,00 ","0,00 ","0,00 ","2.302.417,44 ","9.672,98 ","0,00 ","0,00 ","9.672,98 ","1.346.726,70 ","0,00 ","10.140,39 ","2.980,00 ","0,00 ","0,00 ","1.333.606,31 ","190.869,27 ","190.869,27 ","755.148,49 ","0,00 ","91.911,99 ","2.277,21 ","532.033,09 ","0,00 ","128.926,20 ","0,00 ","0,00 ","0,00 ","0,00 ","2.072.636,69 ","2.072.636,69 ","0,00 ","0,00 ","8.123,96 ","34.990,61 ","1.771.682,18 ","0,00 ","74.816,84 ","0,00 ","183.023,10 ","1.182.530,00 ","222.515,44 ","129.174,93 ","93.340,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","960.014,56 ","138.022,22 ","0,00 ","0,00 ","821.992,34 ","-310.145,74 ","-338.776,74 ","1.597.916,25 "
4.,148 ,OBČINA BENEDIKT,"3.934.615,68 ","707.035,16 ","153.617,16 ","136.870,92 ","4.704,00 ","9.129,97 ","2.912,27 ","0,00 ","0,00 ","0,00 ","24.836,22 ","12.752,17 ","9.723,90 ","82,24 ","137,15 ","2.140,76 ","469.881,59 ","55.005,99 ","15.273,47 ","121.422,98 ","3.913,81 ","3.386,42 ","119.481,08 ","94.792,21 ","0,00 ","2.860,07 ","53.745,56 ","57.450,19 ","57.450,19 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.250,00 ","0,00 ","1.250,00 ","0,00 ","0,00 ","0,00 ","532.603,53 ","29.627,63 ","0,00 ","0,00 ","29.627,63 ","278.782,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","278.782,94 ","81.540,20 ","81.540,20 ","142.652,76 ","0,00 ","13.223,73 ","0,00 ","129.429,03 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.665.827,86 ","2.665.827,86 ","0,00 ","0,00 ","4.653,81 ","0,00 ","2.312.639,88 ","13.633,53 ","281.000,00 ","0,00 ","53.900,64 ","29.149,13 ","29.149,13 ","25.063,81 ","4.085,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","-940.468,54 ","-884.827,31 ","551.160,87 "
