,,,,,,,,,,,- V EUR,,,,,- V EUR,
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.,
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA,
,,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),,
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.122,15 ","5.122,15 ","5.122,15 ","0,00 ","0,00 ","24.166,72 ","-5.122,15 ","-112.793,87 ","1.540.385,12 ",
2.,195 ,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","66.671,48 ","66.671,48 ","66.671,48 ","0,00 ","0,00 ","-258.146,63 ","-66.671,48 ","187.435,15 ","397.807,01 ",
3.,2 ,OBČINA BELTINCI,"2.500.000,00 ","2.500.000,00 ","2.500.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.183.794,26 ","2.500.000,00 ","310.145,74 ","860.025,46 ",
4.,148 ,OBČINA BENEDIKT,"1.400.000,00 ","1.400.000,00 ","1.400.000,00 ","0,00 ","0,00 ","474.179,61 ","474.179,61 ","474.179,61 ","0,00 ","0,00 ","-14.648,15 ","925.820,39 ","940.468,54 ","39.439,00 ",
5.,149 ,OBČINA BISTRICA OB SOTLI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.542,68 ","7.542,68 ","0,00 ","0,00 ","7.542,68 ","29.959,76 ","-7.542,68 ","-41.392,53 ","50.977,55 ",
6.,3 ,OBČINA BLED,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","89.823,73 ","89.823,73 ","89.823,73 ","0,00 ","0,00 ","29.115,13 ","-89.823,73 ","-105.901,38 ","1.074.496,73 ",
