,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4030,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,430,4307,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,***INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,***INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
"Zap.
št.",ID,OBČINA,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Drugi operativni odhodki,,Plačila obresti od kreditov - Banki Slovenije,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi nepridobitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,***Investicijski transferi javnim zavodom,,Investicijski transferi nepridobitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
1.,1 ,OBČINA AJDOVŠČINA,"19.455.712,23 ","3.059.147,17 ","676.457,99 ","607.172,72 ","21.856,60 ","44.722,82 ","0,00 ","2.705,85 ","0,00 ","0,00 ","114.434,84 ","56.632,86 ","45.403,15 ","384,30 ","640,59 ","11.373,94 ","2.019.233,98 ","110.811,73 ","113.267,90 ","355.273,59 ","14.755,46 ","1.024,57 ","829.727,85 ","21.730,72 ","23.820,61 ","548.821,55 ","655,10 ","0,00 ","655,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","248.365,26 ","0,00 ","103.429,45 ","144.935,81 ","0,00 ","0,00 ","5.851.862,68 ","211.345,99 ","6.165,85 ","0,00 ","205.180,14 ","2.983.815,25 ","0,00 ","0,00 ","22.009,53 ","0,00 ","0,00 ","2.961.805,72 ","662.120,27 ","662.120,27 ","1.994.581,17 ","35.207,57 ","85.859,84 ","9.065,82 ","1.864.447,94 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.641.204,39 ","9.641.204,39 ","20.000,00 ","0,00 ","242.169,96 ","0,00 ","7.509.335,47 ","1.111.155,59 ","311.467,69 ","3.147,00 ","443.928,68 ","903.497,99 ","0,00 ","0,00 ","278.149,84 ","264.485,60 ","0,00 ","0,00 ","0,00 ","13.664,24 ","0,00 ","0,00 ","625.348,15 ","0,00 ","0,00 ","0,00 ","625.348,15 ","-449.582,82 ","-460.461,53 ","6.270.338,27 "
2.,195 ,OBČINA APAČE,"2.974.489,06 ","945.274,60 ","272.224,92 ","241.324,43 ","10.610,67 ","17.987,86 ","2.013,20 ","0,00 ","0,00 ","288,76 ","40.678,32 ","21.369,17 ","15.662,67 ","132,64 ","229,00 ","3.284,84 ","618.153,46 ","159.019,59 ","13.027,07 ","65.874,83 ","3.808,04 ","3.564,93 ","224.593,54 ","0,00 ","9.839,14 ","138.426,32 ","1.385,22 ","0,00 ","1.385,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.832,68 ","0,00 ","12.832,68 ","0,00 ","0,00 ","0,00 ","997.790,58 ","5.999,88 ","0,00 ","0,00 ","5.999,88 ","514.090,87 ","0,00 ","0,00 ","0,00 ","0,00 ","1.625,00 ","512.465,87 ","137.880,42 ","137.880,42 ","339.819,41 ","24.913,33 ","17.664,88 ","3.705,62 ","292.596,90 ","938,68 ","0,00 ","0,00 ","0,00 ","0,00 ","944.633,09 ","944.633,09 ","0,00 ","0,00 ","6.206,76 ","0,00 ","736.263,17 ","31.963,00 ","4.588,90 ","0,00 ","165.611,26 ","86.790,79 ","0,00 ","0,00 ","30.572,72 ","27.099,92 ","3.472,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","56.218,07 ","27.578,45 ","0,00 ","0,00 ","28.639,62 ","206.596,02 ","198.108,61 ","780.057,99 "
3.,2 ,OBČINA BELTINCI,"7.137.909,68 ","1.859.846,45 ","245.481,53 ","217.295,79 ","8.304,00 ","14.605,53 ","0,00 ","498,69 ","0,00 ","4.777,52 ","39.827,27 ","19.283,52 ","15.448,85 ","130,54 ","217,92 ","4.746,44 ","1.535.394,20 ","87.037,28 ","73.543,25 ","255.068,12 ","8.999,58 ","1.773,78 ","743.455,04 ","0,00 ","0,00 ","365.517,15 ","39.143,45 ","0,00 ","39.143,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.526.245,61 ","56.085,02 ","53.356,68 ","0,00 ","2.728,34 ","1.526.707,08 ","0,00 ","12.750,00 ","22.560,00 ","0,00 ","0,00 ","1.491.397,08 ","195.215,54 ","195.215,54 ","748.237,97 ","0,00 ","81.691,04 ","1.557,41 ","605.220,46 ","59.769,06 ","0,00 ","0,00 ","0,00 ","0,00 ","2.167.262,49 ","2.167.262,49 ","54.155,70 ","0,00 ","22.536,17 ","2.671,57 ","1.777.395,43 ","0,00 ","21.344,93 ","0,00 ","289.158,69 ","584.555,13 ","0,00 ","0,00 ","154.196,27 ","89.033,80 ","65.162,47 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","430.358,86 ","302.526,91 ","0,00 ","0,00 ","127.831,95 ","120.085,25 ","94.741,41 ","1.749.118,93 "
4.,148 ,OBČINA BENEDIKT,"2.629.275,89 ","867.604,95 ","147.855,73 ","133.673,47 ","4.152,00 ","9.177,28 ","852,98 ","0,00 ","0,00 ","0,00 ","22.587,42 ","12.296,03 ","8.148,73 ","68,94 ","114,90 ","1.958,82 ","611.286,36 ","61.937,35 ","9.495,30 ","125.286,80 ","3.052,41 ","1.922,39 ","240.892,75 ","84.003,12 ","0,00 ","84.696,24 ","85.875,44 ","0,00 ","85.875,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","624.954,68 ","0,00 ","0,00 ","0,00 ","0,00 ","350.833,88 ","0,00 ","2.865,00 ","0,00 ","0,00 ","0,00 ","347.968,88 ","96.401,82 ","96.401,82 ","177.718,98 ","2.920,00 ","11.307,52 ","0,00 ","162.930,14 ","561,32 ","0,00 ","0,00 ","0,00 ","0,00 ","1.120.365,21 ","1.120.365,21 ","0,00 ","0,00 ","499,09 ","0,00 ","1.008.568,86 ","10.168,61 ","26.482,00 ","0,00 ","74.646,65 ","16.351,05 ","0,00 ","0,00 ","8.888,83 ","4.506,32 ","4.382,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.462,22 ","7.462,22 ","0,00 ","0,00 ","0,00 ","81.727,01 ","167.594,65 ","288.307,03 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"1.962.927,76 ","475.166,61 ","151.504,39 ","132.868,30 ","6.689,34 ","11.513,62 ","0,00 ","0,00 ","0,00 ","433,13 ","23.584,72 ","11.923,52 ","9.396,17 ","79,46 ","134,63 ","2.050,94 ","275.694,72 ","30.815,34 ","30.324,02 ","29.405,14 ","0,00 ","9.823,97 ","90.823,16 ","0,00 ","0,00 ","84.503,09 ","4.383,73 ","0,00 ","0,00 ","0,00 ","4.383,73 ","0,00 ","0,00 ","0,00 ","19.999,05 ","547,05 ","19.452,00 ","0,00 ","0,00 ","0,00 ","657.886,53 ","20.786,77 ","0,00 ","0,00 ","20.786,77 ","347.324,85 ","0,00 ","3.600,00 ","0,00 ","0,00 ","0,00 ","343.724,85 ","83.673,15 ","83.673,15 ","206.101,76 ","5.083,27 ","16.552,82 ","4.984,00 ","179.481,67 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","808.447,46 ","808.447,46 ","37.000,00 ","0,00 ","24.677,69 ","0,00 ","376.955,74 ","293.107,67 ","46.150,00 ","0,00 ","30.556,36 ","21.427,16 ","0,00 ","0,00 ","14.404,92 ","0,00 ","14.404,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.022,24 ","2.513,24 ","0,00 ","0,00 ","4.509,00 ","-118.390,62 ","-114.195,48 ","321.203,30 "
