,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,- V EUR
,,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7047,706,7060,71,710,7100,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,732,7320,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417,78,787,7870
,,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70+71+72+73+74+78,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,"KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI",PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE
,,,,,"700+703+704
+706","DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,"710+711+712
+713+714",UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,GLOBE IN DRUGE DENARNE KAZNI ,GLOBE IN DRUGE DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731+732,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,740+741,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,782+786+787,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ
"Zap.
št.",ID,OBČINA,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve,Dovoljenja za poslovanje in za opravljanje dejavnosti,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki,Prihodki od obresti,Prihodki od premoženja,,Upravne takse in pristojbine,,Globe in druge denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih sredstev,,,Prejete donacije in darila od domačih pravnih oseb,Prejete donacije in darila od domačih fizičnih oseb,,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,Prejete donacije in darila od tujih vlad in vladnih institucij,Prejete donacije in darila od tujih pravnih oseb,Prejete donacije in darila od tujih fizičnih oseb,,Donacije za odpravo posledic naravnih nesreč,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz občinskih proračunov,Prejeta sredstva iz skladov socialnega zavarovanja,Prejeta sredstva iz javnih skladov,Prejeta sredstva iz javnih agencij,,Prejeta sredstva iz državnega proračuna iz predpristopnih in popristopnih pomoči Evropske unije,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje skupne kmetijske politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz strukturnih skladov,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz kohezijskega sklada,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje centraliziranih in drugih programov EU,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz naslova pavšalnih povračil,Druga prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije,Prejeta sredstva iz državnega proračuna - iz sredstev drugih evropskih institucij,,,Prejeta sredstva od drugih evropskih institucij
1.,1 ,OBČINA AJDOVŠČINA,"19.006.129,41 ","15.181.348,12 ","12.055.677,70 ","10.223.011,00 ","10.223.011,00 ","1.316.032,58 ","1.067.852,78 ","1.350,35 ","81.856,21 ","164.973,24 ","516.634,12 ","6.554,98 ","0,00 ","510.079,14 ","0,00 ","0,00 ","3.125.670,42 ","1.816.786,32 ","385.808,25 ","11.533,81 ","1.419.444,26 ","11.440,87 ","11.440,87 ","8.748,69 ","8.748,69 ","39.972,25 ","39.972,25 ","1.248.722,29 ","1.248.722,29 ","309.614,51 ","14.369,81 ","14.369,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","295.244,70 ","1.580,10 ","293.664,60 ","0,00 ","960,00 ","960,00 ","960,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.514.206,78 ","1.531.692,51 ","1.434.035,83 ","16.264,68 ","0,00 ","81.392,00 ","0,00 ","1.982.514,27 ","0,00 ","0,00 ","439.900,05 ","1.542.614,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
2.,195 ,OBČINA APAČE,"3.181.085,08 ","2.723.123,17 ","2.475.400,95 ","2.296.482,00 ","2.296.482,00 ","80.403,26 ","61.013,24 ","276,39 ","3.648,17 ","15.465,46 ","98.515,69 ","850,66 ","0,00 ","97.665,03 ","0,00 ","0,00 ","247.722,22 ","66.048,82 ","0,00 ","9.872,63 ","56.176,19 ","2.110,14 ","2.110,14 ","1.277,00 ","1.277,00 ","64.678,50 ","64.678,50 ","113.607,76 ","113.607,76 ","41.141,11 ","17.733,47 ","17.733,47 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.407,64 ","0,00 ","23.407,64 ","0,00 ","5.410,00 ","5.410,00 ","0,00 ","5.410,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","411.410,80 ","140.574,66 ","140.574,66 ","0,00 ","0,00 ","0,00 ","0,00 ","270.836,14 ","0,00 ","0,00 ","270.836,14 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
3.,2 ,OBČINA BELTINCI,"7.257.994,93 ","6.135.210,99 ","5.272.959,78 ","4.634.611,00 ","4.634.611,00 ","350.346,22 ","300.836,75 ","34,35 ","8.268,62 ","41.206,50 ","288.002,56 ","160.082,43 ","0,00 ","127.920,13 ","0,00 ","0,00 ","862.251,21 ","144.190,75 ","12.560,56 ","64.487,29 ","67.142,90 ","2.062,44 ","2.062,44 ","383,20 ","383,20 ","29.211,93 ","29.211,93 ","686.402,89 ","686.402,89 ","2.284,61 ","1.674,65 ","1.674,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","609,96 ","219,96 ","390,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.120.499,33 ","175.010,97 ","174.310,97 ","0,00 ","0,00 ","700,00 ","0,00 ","945.488,36 ","0,00 ","0,00 ","932.849,94 ","0,00 ","0,00 ","0,00 ","12.638,42 ","0,00 ","0,00 ","0,00 ","0,00 "
4.,148 ,OBČINA BENEDIKT,"2.711.002,90 ","1.780.866,66 ","1.604.861,17 ","1.479.415,00 ","1.479.415,00 ","61.171,33 ","34.897,24 ","246,52 ","9.373,92 ","16.653,65 ","64.274,84 ","260,97 ","0,00 ","64.013,87 ","0,00 ","0,00 ","176.005,49 ","32.875,53 ","0,00 ","7,80 ","32.867,73 ","2.047,99 ","2.047,99 ","1.747,80 ","1.747,80 ","101.156,80 ","101.156,80 ","38.177,37 ","38.177,37 ","47.691,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","47.691,70 ","13.604,00 ","34.087,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","882.444,54 ","254.535,09 ","114.057,09 ","140.478,00 ","0,00 ","0,00 ","0,00 ","627.909,45 ","0,00 ","0,00 ","627.909,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"1.844.537,14 ","1.454.256,44 ","1.356.446,92 ","1.263.099,00 ","1.263.099,00 ","57.746,51 ","49.129,87 ","11,97 ","4.745,35 ","3.859,32 ","35.601,41 ","186,93 ","0,00 ","35.414,48 ","0,00 ","0,00 ","97.809,52 ","35.433,80 ","0,00 ","188,59 ","35.245,21 ","303,02 ","303,02 ","157,31 ","157,31 ","8.543,23 ","8.543,23 ","53.372,16 ","53.372,16 ","3.183,00 ","543,00 ","543,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.640,00 ","2.640,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","387.097,70 ","205.611,70 ","205.611,70 ","0,00 ","0,00 ","0,00 ","0,00 ","181.486,00 ","0,00 ","0,00 ","181.486,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
