,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,- V EUR,,,,,,,- V EUR,,- V EUR
,,,I.,7,70,700,7000,703,7030,7031,7032,7033,704,7044,7045,7047,706,7060,71,710,7100,7102,7103,711,7111,712,7120,713,7130,714,7141,72,720,7200,7201,7202,7203,721,7210,7211,722,7220,7221,7222,73,730,7300,7301,731,7310,7311,7312,7313,732,7320,74,740,7400,7401,7402,7403,7404,741,7410,7411,7412,7413,7414,7415,7416,7417,78,782,7821,787,7870
,,,SKUPAJ PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,TEKOČI PRIHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,70+71+72+73+74+78,70+71,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,DAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,NEDAVČNI PRIHODKI,"KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","KAPITALSKI
PRIHODKI","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","PREJETE
DONACIJE","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI","TRANSFERNI
PRIHODKI",PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE,PREJETA SREDSTVA IZ EVROPSKE UNIJE
,,,,,"700+703+704
+706","DAVKI NA DOHODEK IN
DOBIČEK","DAVKI NA DOHODEK IN
DOBIČEK",DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DAVKI NA PREMOŽENJE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DOMAČI DAVKI NA BLAGO IN STORITVE,DRUGI DAVKI,DRUGI DAVKI,"710+711+712
+713+714",UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,UDELEŽBA NA DOBIČKU IN DOHODKI OD PREMOŽENJA ,TAKSE IN PRISTOJBINE,TAKSE IN PRISTOJBINE,GLOBE IN DRUGE DENARNE KAZNI ,GLOBE IN DRUGE DENARNE KAZNI ,PRIHODKI OD PRODAJE BLAGA IN STORITEV,PRIHODKI OD PRODAJE BLAGA IN STORITEV,DRUGI NEDAVČNI PRIHODKI,DRUGI NEDAVČNI PRIHODKI,720+721+722,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE OSNOVNIH SREDSTEV,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZALOG,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,PRIHODKI OD PRODAJE ZEMLJIŠČ IN NEOPREDMET. DOLGOROČ. SREDSTEV,730+731+732,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ DOMAČIH VIROV ,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,PREJETE DONACIJE IZ TUJINE,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,DONACIJE ZA ODPRAVO POSLEDIC NARAVNIH NESREČ,740+741,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,TRANSFERNI PRIH. IZ DRUGIH JAVNOFINANČNIH INSTITUCIJ,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,PREJETA SREDSTVA IZ DRŽAVNEGA PRORAČUNA IZ SREDSTEV PRORAČUNA EVROPSKE UNIJE,782+786+787,PREJETA SREDSTVA IZ PRORAČUNA EU IZ STRUKTURNIH SKLADOV,PREJETA SREDSTVA IZ PRORAČUNA EU IZ STRUKTURNIH SKLADOV,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ,PREJETA SREDSTVA OD DRUGIH EVROPSKIH INSTITUCIJ
,,,,,,,Dohodnina,,Davki na nepremičnine,Davki na premičnine,Davki na dediščine in darila,Davki na promet nepremičnin in na finančno premoženje,,Davki na posebne storitve,Dovoljenja za poslovanje in za opravljanje dejavnosti,Drugi davki na uporabo blaga in storitev,,Drugi davki,,,Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki,Prihodki od obresti,Prihodki od premoženja,,Upravne takse in pristojbine,,Globe in druge denarne kazni,,Prihodki od prodaje blaga in storitev,,Drugi nedavčni prihodki,,,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje zgradb in prostorov,Prihodki od prodaje opreme,Prihodki od prodaje drugih osnovnih sredstev,,Prihodki od prodaje blagovnih rezerv,Prihodki od prodaje drugih zalog,,Prihodki od prodaje kmetijskih zemljišč in gozdov,Prihodki od prodaje stavbnih zemljišč,Prihodki od prodaje premoženjskih pravic in drugih neopredmetenih sredstev,,,Prejete donacije in darila od domačih pravnih oseb,Prejete donacije in darila od domačih fizičnih oseb,,Prejete donacije in darila od tujih nevladnih organizacij in fundacij,Prejete donacije in darila od tujih vlad in vladnih institucij,Prejete donacije in darila od tujih pravnih oseb,Prejete donacije in darila od tujih fizičnih oseb,,Donacije za odpravo posledic naravnih nesreč,,,Prejeta sredstva iz državnega proračuna,Prejeta sredstva iz občinskih proračunov,Prejeta sredstva iz skladov socialnega zavarovanja,Prejeta sredstva iz javnih skladov,Prejeta sredstva iz javnih agencij,,Prejeta sredstva iz državnega proračuna iz predpristopnih in popristopnih pomoči Evropske unije,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje skupne kmetijske politike,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz strukturnih skladov,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz kohezijskega sklada,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije za izvajanje centraliziranih in drugih programov EU,Prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije iz naslova pavšalnih povračil,Druga prejeta sredstva iz državnega proračuna iz sredstev proračuna Evropske unije,Prejeta sredstva iz državnega proračuna - iz sredstev drugih evropskih institucij,,,Prejeta sredstva iz proračuna EU iz Evropskega sklada za regionalni razvoj (ERDF),,Prejeta sredstva od drugih evropskih institucij
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"18.354.239,65 ","14.655.678,83 ","12.267.309,64 ","10.370.529,00 ","10.370.529,00 ","1.387.383,71 ","1.113.358,81 ","1.468,19 ","75.815,96 ","196.740,75 ","467.475,66 ","4.213,20 ","0,00 ","463.262,46 ","41.921,27 ","41.921,27 ","2.388.369,19 ","1.825.597,09 ","509,60 ","17.909,30 ","1.807.178,19 ","12.156,17 ","12.156,17 ","6.131,44 ","6.131,44 ","37.662,96 ","37.662,96 ","506.821,53 ","506.821,53 ","276.568,19 ","112.786,19 ","110.686,19 ","0,00 ","0,00 ","2.100,00 ","0,00 ","0,00 ","0,00 ","163.782,00 ","1.084,84 ","162.697,16 ","0,00 ","9.494,80 ","9.494,80 ","9.494,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.412.497,83 ","2.184.049,48 ","2.119.352,33 ","17.468,15 ","0,00 ","47.229,00 ","0,00 ","1.228.448,35 ","0,00 ","23.354,38 ","399.500,00 ","805.593,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
2.,195 ,OBČINA APAČE,"4.133.687,45 ","2.668.443,43 ","2.494.361,82 ","2.253.803,00 ","2.253.803,00 ","95.998,34 ","70.944,50 ","439,93 ","5.681,57 ","18.932,34 ","144.560,48 ","299,85 ","0,00 ","144.260,63 ","0,00 ","0,00 ","174.081,61 ","83.400,69 ","0,00 ","12.776,43 ","70.624,26 ","2.366,55 ","2.366,55 ","3.118,16 ","3.118,16 ","27.442,39 ","27.442,39 ","57.753,82 ","57.753,82 ","16.106,86 ","6.556,30 ","6.556,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.550,56 ","0,00 ","9.550,56 ","0,00 ","142,00 ","142,00 ","0,00 ","142,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.448.995,16 ","232.897,57 ","232.897,57 ","0,00 ","0,00 ","0,00 ","0,00 ","1.216.097,59 ","0,00 ","0,00 ","1.216.097,59 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
3.,2 ,OBČINA BELTINCI,"7.293.015,58 ","5.958.765,61 ","5.205.241,27 ","4.677.565,00 ","4.677.565,00 ","386.106,82 ","317.322,31 ","23,91 ","18.298,22 ","50.462,38 ","140.112,96 ","5.597,43 ","0,00 ","134.515,53 ","1.456,49 ","1.456,49 ","753.524,34 ","165.985,74 ","13.759,01 ","62.278,73 ","89.948,00 ","2.734,00 ","2.734,00 ","2.905,46 ","2.905,46 ","4.020,80 ","4.020,80 ","577.878,34 ","577.878,34 ","20.696,77 ","1.568,88 ","1.568,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","19.127,89 ","19.127,89 ","0,00 ","0,00 ","1.500,00 ","1.500,00 ","0,00 ","1.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.312.053,20 ","355.288,02 ","337.082,71 ","727,30 ","0,00 ","17.478,01 ","0,00 ","956.765,18 ","0,00 ","0,00 ","63.978,71 ","815.692,18 ","0,00 ","0,00 ","77.094,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
4.,148 ,OBČINA BENEDIKT,"2.112.441,08 ","1.778.058,62 ","1.585.047,71 ","1.456.490,00 ","1.456.490,00 ","58.918,01 ","41.415,91 ","49,09 ","2.933,94 ","14.519,07 ","69.639,70 ","341,27 ","0,00 ","69.298,43 ","0,00 ","0,00 ","193.010,91 ","46.571,58 ","0,00 ","29,55 ","46.542,03 ","1.713,64 ","1.713,64 ","623,20 ","623,20 ","98.332,68 ","98.332,68 ","45.769,81 ","45.769,81 ","5.637,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.637,00 ","0,00 ","5.637,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","328.745,46 ","151.271,24 ","145.210,24 ","0,00 ","0,00 ","0,00 ","6.061,00 ","177.474,22 ","0,00 ","0,00 ","177.474,22 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
