,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,- V EUR,,,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,4209,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
,,,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi nepridobitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",Nakup blagovnih rezerv in intervencijskih zalog,,,Investicijski transferi nepridobitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"15.464.911,42 ","3.579.976,43 ","764.046,53 ","685.380,22 ","24.290,38 ","45.548,46 ","246,84 ","2.165,11 ","0,00 ","6.415,52 ","125.899,52 ","62.276,56 ","49.886,78 ","422,24 ","703,63 ","12.610,31 ","2.312.194,07 ","126.569,91 ","128.219,08 ","300.048,53 ","12.959,59 ","1.054,68 ","1.167.738,04 ","44.182,54 ","11.705,12 ","519.716,58 ","73.279,42 ","73.279,42 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","304.556,89 ","0,00 ","224.841,55 ","79.715,34 ","0,00 ","0,00 ","6.847.117,24 ","284.901,80 ","188.602,47 ","0,00 ","96.299,33 ","3.676.992,53 ","0,00 ","84.400,00 ","12.469,31 ","0,00 ","0,00 ","3.580.123,22 ","774.991,11 ","774.991,11 ","2.110.231,80 ","6.439,05 ","87.140,01 ","7.496,33 ","2.009.156,41 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.337.267,32 ","4.337.267,32 ","0,00 ","0,00 ","416.316,11 ","0,00 ","2.755.757,28 ","809.679,54 ","112.023,80 ","1.886,14 ","241.604,45 ","0,00 ","700.550,43 ","173.226,14 ","164.814,90 ","0,00 ","0,00 ","0,00 ","8.411,24 ","0,00 ","0,00 ","527.324,29 ","58.797,74 ","0,00 ","0,00 ","468.526,55 ","2.343.366,97 ","2.359.068,15 ","4.844.539,64 "
2.,195 ,OBČINA APAČE,"3.060.423,13 ","791.587,35 ","248.033,74 ","212.141,87 ","9.065,79 ","12.936,60 ","13.456,35 ","0,00 ","0,00 ","433,13 ","40.354,88 ","20.691,69 ","15.982,21 ","137,10 ","228,43 ","3.315,45 ","473.771,16 ","128.097,83 ","10.469,48 ","45.768,76 ","4.385,07 ","1.912,51 ","175.440,58 ","170,82 ","525,31 ","107.000,80 ","16.591,86 ","16.591,86 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","12.835,71 ","0,00 ","12.835,71 ","0,00 ","0,00 ","0,00 ","1.088.786,59 ","17.250,40 ","11.250,40 ","0,00 ","6.000,00 ","546.051,63 ","0,00 ","0,00 ","0,00 ","0,00 ","500,00 ","545.551,63 ","138.409,70 ","138.409,70 ","387.074,86 ","20.533,74 ","32.601,15 ","3.684,59 ","330.255,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.047.548,36 ","1.047.548,36 ","0,00 ","0,00 ","3.315,11 ","0,00 ","857.967,93 ","6.535,15 ","2.140,06 ","0,00 ","177.590,11 ","0,00 ","132.500,83 ","8.093,74 ","8.093,74 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","124.407,09 ","98.967,38 ","0,00 ","0,00 ","25.439,71 ","291.287,04 ","281.574,84 ","761.840,28 "
3.,2 ,OBČINA BELTINCI,"13.042.172,66 ","1.358.325,54 ","305.278,02 ","274.456,59 ","10.380,00 ","16.439,15 ","3.900,15 ","102,13 ","0,00 ","0,00 ","50.444,77 ","24.643,66 ","19.742,71 ","167,05 ","278,35 ","5.613,00 ","965.513,85 ","73.358,51 ","56.551,46 ","241.539,70 ","8.845,41 ","4.833,36 ","343.364,85 ","0,00 ","0,00 ","237.020,56 ","37.088,90 ","37.088,90 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.689.717,70 ","116.476,55 ","59.461,49 ","0,00 ","57.015,06 ","1.561.721,77 ","0,00 ","9.300,00 ","6.400,00 ","0,00 ","0,00 ","1.546.021,77 ","192.438,83 ","192.438,83 ","819.080,55 ","0,00 ","84.203,62 ","862,65 ","672.898,48 ","61.115,80 ","0,00 ","0,00 ","0,00 ","0,00 ","8.629.840,59 ","8.629.840,59 ","47.681,79 ","4.590,00 ","28.057,14 ","7.682,19 ","8.331.323,70 ","49.398,80 ","61.282,58 ","0,00 ","99.824,39 ","0,00 ","364.288,83 ","77.196,95 ","27.496,77 ","49.700,18 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","287.091,88 ","0,00 ","0,00 ","0,00 ","287.091,88 ","-1.112.817,64 ","-1.081.239,97 ","1.441.657,99 "
4.,148 ,OBČINA BENEDIKT,"3.336.495,97 ","868.943,93 ","149.988,96 ","132.883,56 ","4.152,00 ","9.452,99 ","3.040,41 ","0,00 ","0,00 ","460,00 ","22.662,37 ","12.097,14 ","8.303,89 ","70,32 ","117,12 ","2.073,90 ","614.628,36 ","50.381,15 ","24.560,33 ","175.204,53 ","4.178,44 ","1.791,13 ","232.070,47 ","84.580,50 ","0,00 ","41.861,81 ","72.124,24 ","72.124,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","9.540,00 ","0,00 ","9.540,00 ","0,00 ","0,00 ","0,00 ","654.800,10 ","0,00 ","0,00 ","0,00 ","0,00 ","380.066,37 ","0,00 ","3.400,00 ","0,00 ","0,00 ","0,00 ","376.666,37 ","102.284,01 ","102.284,01 ","172.449,72 ","0,00 ","12.590,82 ","0,00 ","159.858,90 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.792.098,07 ","1.792.098,07 ","0,00 ","0,00 ","2.490,00 ","0,00 ","1.694.341,12 ","841,00 ","52.452,52 ","0,00 ","41.973,43 ","0,00 ","20.653,87 ","16.116,50 ","15.000,00 ","1.116,50 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.537,37 ","3.323,37 ","0,00 ","0,00 ","1.214,00 ","-559.175,13 ","-487.055,72 ","219.827,12 "
