,,,,,,,,,,,- V EUR,,,,,- V EUR
,,,50,500,5001,5002,5003,55,550,5501,5502,5503,IX.,X.,XI.,XII.
,,,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ZADOLŽEVANJE,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,ODPLAČILA DOLGA,SPREMEMBA STANJA SREDSTEV NA RAČUNIH,NETO ZADOLŽEVANJE,NETO FINANCIRANJE,STANJE SREDSTEV NA RAČUNIH DNE 31. 12. PRETEKLEGA LETA
,,,,,,,,,,,,,,,,
,,,500,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,DOMAČE ZADOLŽEVANJE,550,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,ODPLAČILA DOMAČEGA DOLGA,(I.+IV.+VII.-II.-V.-VIII.),(VII.-VIII.),(VI.+X.-IX.=-III),
,,,,,Najeti krediti pri poslovnih bankah,Najeti krediti pri drugih finančnih institucijah,Najeti krediti pri drugih domačih kreditodajalcih,,,Odplačila kreditov poslovnim bankam,Odplačila kreditov drugim finančnim institucijam,Odplačila kreditov drugim domačim kreditodajalcem,,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","423.309,79 ","423.309,79 ","423.309,79 ","0,00 ","0,00 ","1.539.943,47 ","-423.309,79 ","-2.343.366,97 ","2.702.226,88 "
2.,195 ,OBČINA APAČE,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","61.019,68 ","61.019,68 ","61.019,68 ","0,00 ","0,00 ","230.267,36 ","-61.019,68 ","-291.287,04 ","425.584,68 "
3.,2 ,OBČINA BELTINCI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","250.000,00 ","250.000,00 ","250.000,00 ","0,00 ","0,00 ","-1.362.817,64 ","-250.000,00 ","1.112.817,64 ","2.084.226,75 "
4.,148 ,OBČINA BENEDIKT,"682.000,00 ","682.000,00 ","682.000,00 ","0,00 ","0,00 ","109.224,59 ","109.224,59 ","109.224,59 ","0,00 ","0,00 ","13.600,28 ","572.775,41 ","559.175,13 ","8.902,18 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.780,23 ","16.780,23 ","0,00 ","0,00 ","16.780,23 ","252.670,91 ","-16.780,23 ","-270.735,14 ","211.463,33 "
6.,3 ,OBČINA BLED,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","141.009,18 ","141.009,18 ","141.009,18 ","0,00 ","0,00 ","-651.476,44 ","-141.009,18 ","513.771,91 ","651.476,44 "
