,,,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,- V EUR,,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
,,,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi nepridobitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,Investicijski transferi nepridobitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
"Zap.
št.",ID,OBČINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.,1 ,OBČINA AJDOVŠČINA,"16.792.669,49 ","3.804.607,05 ","829.602,05 ","751.393,07 ","14.405,02 ","49.241,25 ","0,00 ","4.122,75 ","0,00 ","10.439,96 ","129.183,67 ","66.904,90 ","53.586,22 ","453,54 ","755,99 ","7.483,02 ","2.459.143,04 ","131.671,93 ","206.481,47 ","280.582,53 ","12.273,51 ","2.934,84 ","1.322.294,47 ","52.561,18 ","22.733,18 ","427.609,93 ","40.000,00 ","40.000,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","346.678,29 ","0,00 ","282.555,14 ","64.123,15 ","0,00 ","0,00 ","7.063.897,34 ","440.893,99 ","184.168,71 ","0,00 ","256.725,28 ","3.671.862,58 ","0,00 ","100.000,00 ","16.751,11 ","0,00 ","0,00 ","3.555.111,47 ","760.399,31 ","760.399,31 ","2.190.741,46 ","3.970,95 ","85.872,61 ","6.317,78 ","2.094.580,12 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","5.470.954,72 ","5.470.954,72 ","183.020,00 ","0,00 ","104.273,65 ","1.850,19 ","3.423.850,63 ","956.785,07 ","507.013,38 ","5.168,70 ","288.993,10 ","453.210,38 ","73.620,97 ","52.298,00 ","0,00 ","0,00 ","0,00 ","21.322,97 ","0,00 ","0,00 ","379.589,41 ","71.681,23 ","0,00 ","0,00 ","307.908,18 ","-480.363,16 ","-546.278,24 ","3.850.480,34 "
2.,195 ,OBČINA APAČE,"3.803.645,54 ","811.513,64 ","282.778,84 ","245.457,11 ","7.684,54 ","16.465,19 ","13.172,00 ","0,00 ","0,00 ","0,00 ","44.960,32 ","24.096,43 ","18.329,17 ","158,24 ","263,58 ","2.112,90 ","435.239,76 ","117.344,28 ","10.095,29 ","49.091,44 ","5.196,60 ","2.083,99 ","187.820,72 ","174,68 ","0,00 ","63.432,76 ","10.534,72 ","10.534,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","38.000,00 ","0,00 ","38.000,00 ","0,00 ","0,00 ","0,00 ","1.097.081,91 ","67.232,79 ","67.232,79 ","0,00 ","0,00 ","546.841,71 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","546.841,71 ","104.986,47 ","104.986,47 ","378.020,94 ","19.621,00 ","37.889,77 ","5.278,50 ","315.231,67 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.824.514,29 ","1.824.514,29 ","0,00 ","0,00 ","19.265,43 ","0,00 ","1.666.908,02 ","1.137,98 ","39.724,06 ","6.324,00 ","91.154,80 ","70.535,70 ","7.400,00 ","7.400,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","63.135,70 ","49.426,59 ","0,00 ","0,00 ","13.709,11 ","-273.484,11 ","-275.723,64 ","729.648,92 "
3.,2 ,OBČINA BELTINCI,"9.262.664,50 ","1.457.452,42 ","289.792,38 ","262.871,96 ","6.020,40 ","13.378,97 ","5.780,37 ","70,61 ","0,00 ","1.670,07 ","46.067,82 ","23.672,51 ","19.052,40 ","170,30 ","259,59 ","2.913,02 ","1.102.996,25 ","70.041,78 ","55.032,28 ","163.485,22 ","13.134,85 ","3.221,07 ","558.182,46 ","0,00 ","0,00 ","239.898,59 ","18.595,97 ","18.595,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.898.041,61 ","289.972,50 ","95.002,77 ","0,00 ","194.969,73 ","1.606.867,45 ","0,00 ","11.850,00 ","6.650,00 ","0,00 ","0,00 ","1.588.367,45 ","196.253,80 ","196.253,80 ","804.947,86 ","0,00 ","100.245,25 ","468,37 ","620.519,07 ","83.715,17 ","0,00 ","0,00 ","0,00 ","0,00 ","4.325.496,55 ","4.325.496,55 ","49.722,48 ","16.000,00 ","7.240,46 ","63.222,32 ","3.970.334,45 ","71.180,78 ","79.915,66 ","0,00 ","67.880,40 ","581.673,92 ","87.572,12 ","33.437,08 ","54.135,04 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","494.101,80 ","0,00 ","0,00 ","0,00 ","494.101,80 ","-428.521,91 ","-409.925,94 ","1.393.989,92 "
4.,148 ,OBČINA BENEDIKT,"1.827.981,01 ","648.798,21 ","146.447,72 ","131.471,05 ","2.491,20 ","9.408,05 ","3.077,42 ","0,00 ","0,00 ","0,00 ","22.996,59 ","13.247,58 ","8.200,74 ","69,48 ","115,65 ","1.363,14 ","413.636,66 ","47.243,16 ","13.797,48 ","122.455,77 ","2.541,19 ","767,68 ","179.707,46 ","0,00 ","0,00 ","47.123,92 ","63.241,88 ","63.241,88 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.475,36 ","0,00 ","2.475,36 ","0,00 ","0,00 ","0,00 ","637.583,05 ","0,00 ","0,00 ","0,00 ","0,00 ","357.687,74 ","0,00 ","3.580,00 ","0,00 ","0,00 ","0,00 ","354.107,74 ","90.435,37 ","90.435,37 ","189.459,94 ","0,00 ","17.004,24 ","0,00 ","172.455,70 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","541.599,75 ","541.599,75 ","0,00 ","0,00 ","2.740,00 ","0,00 ","455.169,97 ","14.214,65 ","29.033,69 ","0,00 ","40.441,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","224.027,72 ","287.268,51 ","469.155,21 "
