,,,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR
,,,II.,40,400,4000,4001,4002,4003,4004,4005,4009,401,4010,4011,4012,4013,4015,402,4020,4021,4022,4023,4024,4025,4026,4027,4029,403,4031,4032,4033,4035,405,4050,409,4090,4091,4092,4093,4098,41,410,4100,4101,4102,411,4110,4111,4112,4115,4117,4119,412,4120,413,4130,4131,4132,4133,4135,4136,414,4141,4142,4143,42,420,4200,4201,4202,4203,4204,4205,4206,4207,4208,43,431,4310,4311,4312,4313,4314,4315,4316,432,4320,4321,4322,4323,III.,III/1.,III/2.
,,,SKUPAJ ODHODKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRORAČUNSKI PRESEŽEK (PRIMANJKLJAJ)
(I. - II.)","PRIMARNI PRESEŽEK (PRIMANJKLJAJ)
(I. - 7102) - (II. - 403 - 404)","TEKOČI PRESEŽEK (PRIMANJKLJAJ)
(70 + 71) - (40 + 41)"
,,,40+41+42+43,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI ODHODKI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,TEKOČI TRANSFERI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI ODHODKI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,INVESTICIJSKI TRANSFERI,,,
,,,,"400+401+402
+403+405+409",PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PLAČE IN DRUGI IZDATKI ZAPOSLENIM,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,PRISPEVKI DELODAJALCEV ZA SOCIALNO VARNOST,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,IZDATKI ZA BLAGO IN STORITVE ,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PLAČILA DOMAČIH OBRESTI,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,PRENOS PRORAČUNU PRIPADAJOČEGA DELA REZULTATA POSLOVANJA SISTEMA EZR PRETEKLEGA LETA,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,REZERVE,"410+411+412
+413+414",SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,SUBVENCIJE,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. POSAMEZNIKOM IN GOSPODINJSTVOM,TRANS. NEPROFIT. ORG. IN USTANOVAM,TRANS. NEPROFIT. ORG. IN USTANOVAM,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,DRUGI TEKOČI DOMAČI TRANSFERI ,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,TEKOČI TRANSFERI V TUJINO,420,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,NAKUP IN GRADNJA OSNOVNIH SREDSTEV,431+432,"INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI","INVEST. TRANS. PRAVNIM IN FIZIČNIM OS., KI NISO PRORAČUNSKI UPORABNIKI",INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,INVESTICIJSKI TRANSFERI PRORAČUNSKIM UPORABNIKOM,(SKUPAJ PRIHODKI MINUS SKUPAJ ODHODKI),(SKUPAJ PRIHODKI BREZ PRIHODKOV OD OBRESTI MINUS SKUPAJ ODHODKI BREZ PLAČIL OBRESTI),(TEKOČI PRIHODKI MINUS TEKOČI ODHODKI IN TEKOČI TRANSFERI)
"Zap.
št.",ID,OBČINA,,,,Plače in dodatki,Regres za letni dopust,Povračila in nadomestila,Sredstva za delovno uspešnost,Sredstva za nadurno delo,Plače za delo nerezidentov po pogodbi,Drugi izdatki zaposlenim,,Prispevek za pokojninsko in invalidsko zavarovanje,Prispevek za zdravstveno zavarovanje,Prispevek za zaposlovanje,Prispevek za starševsko varstvo,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",,Pisarniški in splošni material in storitve,Posebni material in storitve,"Energija, voda, komunalne storitve in komunikacije",Prevozni stroški in storitve,Izdatki za službena potovanja,Tekoče vzdrževanje,Poslovne najemnine in zakupnine,Kazni in odškodnine,Drugi operativni odhodki,,Plačila obresti od kreditov - poslovnim bankam,Plačila obresti od kreditov - drugim finančnim institucijam,Plačila obresti od kreditov - drugim domačim kreditodajalcem,"Plačila obresti subjektom, vključenim v sistem EZR",,Prenos proračunu pripadajočega dela rezultata poslovanja sistema EZR preteklega leta,,Splošna proračunska rezervacija,Proračunska rezerva,Druge rezerve,Sredstva za posebne namene,Rezervacije za kreditna tveganja v javnih skladih,,,Subvencije javnim podjetjem,Subvencije finančnim institucijam,Subvencije privatnim podjetjem in zasebnikom,,Transferi nezaposlenim,Družinski prejemki in starševska nadomestila,Transferi za zagotavljanje socialne varnosti,Nadomestila plač,Štipendije,Drugi transferi posameznikom,,Tekoči transferi nepridobitnim organizacijam in ustanovam,,Tekoči transferi občinam,Tekoči transferi v sklade socialnega zavarovanja,Tekoči transferi v javne sklade,Tekoči transferi v javne zavode,"Tekoča plačila drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Tekoči transferi v javne agencije,,Tekoči transferi tujim vladam in vladnim institucijam,Tekoči transferi neprofitnim organizacijam v tujini,Drugi tekoči transferi v tujino,,,Nakup zgradb in prostorov,Nakup prevoznih sredstev,Nakup opreme,Nakup drugih osnovnih sredstev,"Novogradnje, rekonstrukcije in adaptacije",Investicijsko vzdrževanje in obnove,Nakup zemljišč in naravnih bogastev,Nakup nematerialnega premoženja,"Študije o izvedljivosti projektov, projektna dokumentacija, nadzor in investicijski inženiring",,,Investicijski transferi nepridobitnim organizacijam in ustanovam,"Investicijski transferi javnim podjetjem in družbam, ki so v lasti države ali občin",Investicijski transferi finančnim institucijam,Investicijski transferi privatnim podjetjem,Investicijski transferi posameznikom in zasebnikom,"Investicijski transferi drugim izvajalcem javnih služb, ki niso posredni proračunski uporabniki",Investicijski transferi v tujino,,Investicijski transferi občinam,Investicijski transferi javnim skladom in agencijam,Investicijski transferi v državni proračun,Investicijski transferi javnim zavodom,,,
1.,1 ,OBČINA AJDOVŠČINA,"17,657,720.85 ","3,573,532.96 ","773,391.35 ","688,944.34 ","15,641.18 ","52,290.89 ","5,599.74 ","3,466.55 ",0.00 ,"7,448.65 ","116,505.22 ","62,075.63 ","49,730.60 ",540.44 ,701.55 ,"3,457.00 ","2,398,450.23 ","131,860.41 ","257,393.62 ","261,781.88 ","9,786.85 ","10,629.02 ","1,074,532.66 ","12,454.25 ","3,272.51 ","636,739.03 ","61,062.70 ","61,062.70 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"224,123.46 ",0.00 ,"100,000.00 ","124,123.46 ",0.00 ,0.00 ,"6,585,224.13 ","123,047.34 ","22,553.17 ",0.00 ,"100,494.17 ","3,435,125.15 ",0.00 ,"91,600.00 ","19,788.47 ",0.00 ,0.00 ,"3,323,736.68 ","757,998.32 ","757,998.32 ","2,269,053.32 ",0.00 ,"103,754.84 ","4,191.42 ","2,161,107.06 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"7,228,814.75 ","7,228,814.75 ","51,142.81 ",0.00 ,"265,204.06 ",0.00 ,"5,802,741.43 ","713,346.51 ","170,133.25 ","12,025.34 ","214,221.35 ","270,149.01 ","45,933.52 ","33,000.00 ",0.00 ,0.00 ,0.00 ,"12,933.52 ",0.00 ,0.00 ,"224,215.49 ",0.00 ,0.00 ,0.00 ,"224,215.49 ","-1,303,431.11 ","-1,262,678.39 ","4,351,273.49 "
2.,195 ,OBČINA APAČE,"5,035,507.32 ","842,395.47 ","300,658.58 ","268,665.78 ","8,143.72 ","16,604.04 ","6,368.94 ",0.00 ,0.00 ,876.10 ,"46,153.62 ","24,484.96 ","20,074.36 ",167.85 ,279.50 ,"1,146.95 ","470,770.13 ","108,708.44 ","10,441.09 ","58,167.25 ","5,187.80 ","3,313.17 ","162,309.73 ",403.50 ,579.88 ,"121,659.27 ","9,813.14 ","9,813.14 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"15,000.00 ",0.00 ,"15,000.00 ",0.00 ,0.00 ,0.00 ,"1,162,703.72 ","66,623.10 ","66,623.10 ",0.00 ,0.00 ,"546,271.59 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"546,271.59 ","115,580.85 ","115,580.85 ","434,228.18 ","18,384.38 ","43,252.96 ","5,862.38 ","366,728.46 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,975,932.82 ","2,975,932.82 ",0.00 ,0.00 ,"15,707.65 ",0.00 ,"2,786,694.77 ","1,836.85 ",322.67 ,"1,571.36 ","169,799.52 ","54,475.31 ","24,539.45 ","5,857.66 ",0.00 ,0.00 ,0.00 ,"18,681.79 ",0.00 ,0.00 ,"29,935.86 ","4,444.25 ",0.00 ,0.00 ,"25,491.61 ","196,178.70 ","202,382.92 ","673,084.25 "
3.,2 ,OBČINA BELTINCI,"6,549,703.98 ","1,523,304.06 ","293,523.10 ","271,631.47 ","5,874.40 ","14,024.20 ","1,993.03 ",0.00 ,0.00 ,0.00 ,"45,342.42 ","23,958.62 ","19,399.83 ",164.25 ,273.64 ,"1,546.08 ","1,147,130.29 ","87,191.79 ","78,439.85 ","134,559.46 ","8,148.53 ","4,689.49 ","533,191.80 ",0.00 ,0.00 ,"300,909.37 ","37,308.25 ","37,308.25 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"2,906,922.18 ","266,788.23 ","137,220.83 ",0.00 ,"129,567.40 ","1,668,474.73 ",0.00 ,"11,100.00 ","24,650.00 ",0.00 ,0.00 ,"1,632,724.73 ","187,921.04 ","187,921.04 ","783,738.18 ",0.00 ,"86,238.04 ",31.34 ,"640,026.29 ","57,442.51 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,532,828.56 ","1,532,828.56 ",0.00 ,0.00 ,"17,660.37 ","2,537.02 ","1,370,532.25 ","73,371.69 ","22,963.60 ",0.00 ,"45,763.63 ","586,649.18 ","159,255.66 ","152,590.68 ","6,664.98 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"427,393.52 ",0.00 ,0.00 ,0.00 ,"427,393.52 ","75,673.33 ","113,038.73 ","1,208,615.90 "
4.,148 ,OBČINA BENEDIKT,"1,803,261.98 ","583,333.47 ","141,125.29 ","127,613.72 ","2,591.20 ","9,108.97 ","1,811.40 ",0.00 ,0.00 ,0.00 ,"21,551.13 ","12,433.08 ","8,289.26 ",70.04 ,116.88 ,641.87 ,"358,366.58 ","46,898.18 ","12,409.66 ","99,904.63 ","2,704.55 ",235.51 ,"130,388.22 ",0.00 ,0.00 ,"65,825.83 ","62,290.47 ","62,290.47 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"690,652.39 ",0.00 ,0.00 ,0.00 ,0.00 ,"414,888.75 ",0.00 ,"3,750.00 ",0.00 ,0.00 ,0.00 ,"411,138.75 ","70,739.27 ","70,739.27 ","205,024.37 ",0.00 ,"8,018.16 ",0.00 ,"197,006.21 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"527,337.94 ","527,337.94 ",0.00 ,0.00 ,"7,962.30 ",0.00 ,"484,394.79 ","4,225.85 ",0.00 ,0.00 ,"30,755.00 ","1,938.18 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"1,938.18 ","1,938.18 ",0.00 ,0.00 ,0.00 ,"220,949.19 ","283,238.29 ","432,592.72 "
5.,149 ,OBČINA BISTRICA OB SOTLI,"1,941,756.58 ","405,716.25 ","134,011.40 ","119,076.68 ","2,768.72 ","9,428.40 ",0.00 ,0.00 ,0.00 ,"2,737.60 ","19,784.01 ","10,572.66 ","8,467.50 ",92.45 ,119.40 ,532.00 ,"237,954.93 ","23,116.02 ","16,646.83 ","44,812.25 ",993.45 ,"4,835.32 ","57,295.64 ",250.00 ,0.00 ,"90,005.42 ","4,322.16 ","1,007.83 ",0.00 ,"3,314.33 ",0.00 ,0.00 ,0.00 ,"9,643.75 ",0.00 ,"9,643.75 ",0.00 ,0.00 ,0.00 ,"689,012.34 ","18,964.61 ","2,262.40 ",0.00 ,"16,702.21 ","445,637.33 ",0.00 ,"2,200.00 ",0.00 ,0.00 ,0.00 ,"443,437.33 ","49,502.15 ","49,502.15 ","174,908.25 ","5,738.82 ","13,787.24 ","8,372.06 ","147,010.13 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"770,264.08 ","770,264.08 ",0.00 ,0.00 ,"18,049.35 ",0.00 ,"439,567.55 ","297,741.84 ",0.00 ,0.00 ,"14,905.34 ","76,763.91 ","76,763.91 ","27,000.00 ","47,220.76 ",0.00 ,0.00 ,"2,543.15 ",0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,"292,773.35 ","296,985.08 ","345,719.86 "
