"AJDOVŠČINA","AJDOVŠČINA"
"APAČE","APAČE"
"BELTINCI","BELTINCI"
"BENEDIKT","BENEDIKT"
"BISTRICA OB SOTLI","BISTRICA OB SOTLI"
"BLED","BLED"
"BLOKE","BLOKE"
"BOHINJ","BOHINJ"
"BOROVNICA","BOROVNICA"
"BOVEC","BOVEC"
"BRASLOVČE","BRASLOVČE"
"BRDA","BRDA"
"BREZOVICA","BREZOVICA"
"BREŽICE","BREŽICE"
"CANKOVA","CANKOVA"
"CELJE","CELJE"
"CERKLJE NA GORENJSKEM","CERKLJE NA GORENJSKEM"
"CERKNICA","CERKNICA"
"CERKNO","CERKNO"
"CERKVENJAK","CERKVENJAK"
"CIRKULANE","CIRKULANE"
"ČRENŠOVCI","ČRENŠOVCI"
"ČRNA NA KOROŠKEM","ČRNA NA KOROŠKEM"
"ČRNOMELJ","ČRNOMELJ"
"DESTRNIK","DESTRNIK"
"DIVAČA","DIVAČA"
"DOBJE","DOBJE"
"DOBREPOLJE","DOBREPOLJE"
"DOBRNA","DOBRNA"
"DOBROVA - POLHOV GRADEC","DOBROVA - POLHOV GRADEC"
"DOBROVA-POLHOV GRADEC","DOBROVA - POLHOV GRADEC"
"DOBROVNIK","DOBROVNIK"
"DOL PRI LJUBLJANI","DOL PRI LJUBLJANI"
"DOLENJSKE TOPLICE","DOLENJSKE TOPLICE"
"DOMŽALE","DOMŽALE"
"DORNAVA","DORNAVA"
"DRAVOGRAD","DRAVOGRAD"
"DUPLEK","DUPLEK"
"GORENJA VAS - POLJANE","GORENJA VAS - POLJANE"
"GORENJA VAS-POLJANE","GORENJA VAS - POLJANE"
"GORIŠNICA","GORIŠNICA"
"GORJE","GORJE"
"GORNJA RADGONA","GORNJA RADGONA"
"GORNJI GRAD","GORNJI GRAD"
"GORNJI PETROVCI","GORNJI PETROVCI"
"GRAD","GRAD"
"GROSUPLJE","GROSUPLJE"
"HAJDINA","HAJDINA"
"HOČE - SLIVNICA","HOČE - SLIVNICA"
"HOČE-SLIVNICA","HOČE - SLIVNICA"
"HODOŠ","HODOŠ"
"HORJUL","HORJUL"
"HRASTNIK","HRASTNIK"
"HRPELJE - KOZINA","HRPELJE - KOZINA"
"HRPELJE-KOZINA","HRPELJE - KOZINA"
"IDRIJA","IDRIJA"
"IG","IG"
"ILIRSKA BISTRICA","ILIRSKA BISTRICA"
"IVANČNA GORICA","IVANČNA GORICA"
"IZOLA","IZOLA"
"JESENICE","JESENICE"
"JEZERSKO","JEZERSKO"
"JURŠINCI","JURŠINCI"
"KAMNIK","KAMNIK"
"KANAL","KANAL"
"KIDRIČEVO","KIDRIČEVO"
"KOBARID","KOBARID"
"KOBILJE","KOBILJE"
"KOČEVJE","KOČEVJE"
"KOMEN","KOMEN"
"KOMENDA","KOMENDA"
"KOPER","KOPER"
"KOSTANJEVICA NA KRKI","KOSTANJEVICA NA KRKI"
"KOSTEL","KOSTEL"
"KOZJE","KOZJE"
"KRANJ","KRANJ"
"KRANJSKA GORA","KRANJSKA GORA"
"KRIŽEVCI","KRIŽEVCI"
"KRŠKO","KRŠKO"
"KUNGOTA","KUNGOTA"
"KUZMA","KUZMA"
"LAŠKO","LAŠKO"
"LENART","LENART"
"LENDAVA","LENDAVA"
"LITIJA","LITIJA"
"LJUBLJANA","LJUBLJANA"
"LJUBNO","LJUBNO"
"LJUTOMER","LJUTOMER"
"LOG - DRAGOMER","LOG - DRAGOMER"
"LOG-DRAGOMER","LOG - DRAGOMER"
"LOGATEC","LOGATEC"
"LOŠKA DOLINA","LOŠKA DOLINA"
"LOŠKI POTOK","LOŠKI POTOK"
"LOVRENC NA POHORJU","LOVRENC NA POHORJU"
"LUČE","LUČE"
"LUKOVICA","LUKOVICA"
"MAJŠPERK","MAJŠPERK"
"MAKOLE","MAKOLE"
"MARIBOR","MARIBOR"
"MARKOVCI","MARKOVCI"
"MEDVODE","MEDVODE"
"MENGEŠ","MENGEŠ"
"METLIKA","METLIKA"
"MEŽICA","MEŽICA"
"MIKLAVŽ NA DRAVSKEM POLJU","MIKLAVŽ NA DRAVSKEM POLJU"
"MIREN - KOSTANJEVICA","MIREN - KOSTANJEVICA"
"MIREN-KOSTANJEVICA","MIREN - KOSTANJEVICA"
"MIRNA","MIRNA"
"MIRNA PEČ","MIRNA PEČ"
"MISLINJA","MISLINJA"
"MOKRONOG - TREBELNO","MOKRONOG - TREBELNO"
"MOKRONOG-TREBELNO","MOKRONOG - TREBELNO"
"MORAVČE","MORAVČE"
"MORAVSKE TOPLICE","MORAVSKE TOPLICE"
"MOZIRJE","MOZIRJE"
"MURSKA SOBOTA","MURSKA SOBOTA"
"MUTA","MUTA"
"NAKLO","NAKLO"
"NAZARJE","NAZARJE"
"NOVA GORICA","NOVA GORICA"
"NOVO MESTO","NOVO MESTO"
"ODRANCI","ODRANCI"
"OPLOTNICA","OPLOTNICA"
"ORMOŽ","ORMOŽ"
"OSILNICA","OSILNICA"
"PESNICA","PESNICA"
"PIRAN","PIRAN"
"PIVKA","PIVKA"
"PODČETRTEK","PODČETRTEK"
"PODLEHNIK","PODLEHNIK"
"PODVELKA","PODVELKA"
"POLJČANE","POLJČANE"
"POLZELA","POLZELA"
"POSTOJNA","POSTOJNA"
"PREBOLD","PREBOLD"
"PREDDVOR","PREDDVOR"
"PREVALJE","PREVALJE"
"PTUJ","PTUJ"
"PUCONCI","PUCONCI"
"RAČE - FRAM","RAČE - FRAM"
"RAČE-FRAM","RAČE - FRAM"
"RADEČE","RADEČE"
"RADENCI","RADENCI"
"RADLJE OB DRAVI","RADLJE OB DRAVI"
"RADOVLJICA","RADOVLJICA"
"RAVNE NA KOROŠKEM","RAVNE NA KOROŠKEM"
"RAZKRIŽJE","RAZKRIŽJE"
"REČICA OB SAVINJI","REČICA OB SAVINJI"
"RENČE - VOGRSKO","RENČE - VOGRSKO"
"RENČE-VOGRSKO","RENČE - VOGRSKO"
"RIBNICA","RIBNICA"
"RIBNICA NA POHORJU","RIBNICA NA POHORJU"
"ROGAŠKA SLATINA","ROGAŠKA SLATINA"
"ROGAŠOVCI","ROGAŠOVCI"
"ROGATEC","ROGATEC"
"RUŠE","RUŠE"
"SELNICA OB DRAVI","SELNICA OB DRAVI"
"SEMIČ","SEMIČ"
"SEVNICA","SEVNICA"
"SEŽANA","SEŽANA"
"SLOVENJ GRADEC","SLOVENJ GRADEC"
"SLOVENSKA BISTRICA","SLOVENSKA BISTRICA"
"SLOVENSKE KONJICE","SLOVENSKE KONJICE"
"SODRAŽICA","SODRAŽICA"
"SOLČAVA","SOLČAVA"
"SREDIŠČE OB DRAVI","SREDIŠČE OB DRAVI"
"STARŠE","STARŠE"
"STRAŽA","STRAŽA"
"SVETA ANA","SVETA ANA"
"SVETA TROJICA V SLOVENSKIH GORICAH","SVETA TROJICA V SLOVENSKIH GORICAH"
"SVETI ANDRAŽ V SLOV. GORICAH","SVETI ANDRAŽ V SLOVENSKIH GORICAH"
"SVETI ANDRAŽ V SLOVENSKIH GORICAH","SVETI ANDRAŽ V SLOVENSKIH GORICAH"
"SVETI JURIJ","SVETI JURIJ"
"SVETI JURIJ V SLOVENSKIH GORICAH","SVETI JURIJ V SLOVENSKIH GORICAH"
"SVETI TOMAŽ","SVETI TOMAŽ"
"ŠALOVCI","ŠALOVCI"
"ŠEMPETER - VRTOJBA","ŠEMPETER - VRTOJBA"
"ŠEMPETER-VRTOJBA","ŠEMPETER - VRTOJBA"
"ŠENČUR","ŠENČUR"
"ŠENTILJ","ŠENTILJ"
"ŠENTJERNEJ","ŠENTJERNEJ"
"ŠENTJUR","ŠENTJUR"
"ŠENTJUR PRI CELJU","ŠENTJUR PRI CELJU"
"ŠENTRUPERT","ŠENTRUPERT"
"ŠKOCJAN","ŠKOCJAN"
"ŠKOFJA LOKA","ŠKOFJA LOKA"
"ŠKOFLJICA","ŠKOFLJICA"
"ŠMARJE PRI JELŠAH","ŠMARJE PRI JELŠAH"
"ŠMARJEŠKE TOPLICE","ŠMARJEŠKE TOPLICE"
"ŠMARTNO OB PAKI","ŠMARTNO OB PAKI"
"ŠMARTNO PRI LITIJI","ŠMARTNO PRI LITIJI"
"ŠOŠTANJ","ŠOŠTANJ"
"ŠTORE","ŠTORE"
"TABOR","TABOR"
"TIŠINA","TIŠINA"
"TOLMIN","TOLMIN"
"TRBOVLJE","TRBOVLJE"
"TREBNJE","TREBNJE"
"TRNOVSKA VAS","TRNOVSKA VAS"
"TRZIN","TRZIN"
"TRŽIČ","TRŽIČ"
"TURNIŠČE","TURNIŠČE"
"VELENJE","VELENJE"
"VELIKA POLANA","VELIKA POLANA"
"VELIKE LAŠČE","VELIKE LAŠČE"
"VERŽEJ","VERŽEJ"
"VIDEM","VIDEM"
"VIPAVA","VIPAVA"
"VITANJE","VITANJE"
"VODICE","VODICE"
"VOJNIK","VOJNIK"
"VRANSKO","VRANSKO"
"VRHNIKA","VRHNIKA"
"VUZENICA","VUZENICA"
"ZAGORJE OB SAVI","ZAGORJE OB SAVI"
"ZAVRČ","ZAVRČ"
"ZREČE","ZREČE"
"ŽALEC","ŽALEC"
"ŽELEZNIKI","ŽELEZNIKI"
"ŽETALE","ŽETALE"
"ŽIRI","ŽIRI"
"ŽIROVNICA","ŽIROVNICA"
"ŽUŽEMBERK","ŽUŽEMBERK"
